OccGroup,Score,AusStudy,n
2512 Medical Imaging Professionals,85,Y,4
2512 Medical Imaging Professionals,55,N,4
2512 Medical Imaging Professionals,55,Y,1
2512 Medical Imaging Professionals,60,N,3
2512 Medical Imaging Professionals,60,Y,2
"4523 Sports Coaches, Instructors and Officials",65,N,3
"4523 Sports Coaches, Instructors and Officials",75,N,1
"4523 Sports Coaches, Instructors and Officials",75,Y,4
"4523 Sports Coaches, Instructors and Officials",70,N,1
"4523 Sports Coaches, Instructors and Officials",70,Y,2
"4523 Sports Coaches, Instructors and Officials",80,N,1
"4523 Sports Coaches, Instructors and Officials",80,Y,1
"4523 Sports Coaches, Instructors and Officials",85,Y,2
"4523 Sports Coaches, Instructors and Officials",55,N,1
"4523 Sports Coaches, Instructors and Officials",60,N,1
"4523 Sports Coaches, Instructors and Officials",60,Y,1
3222 Sheetmetal Trades Workers,65,N,2
3222 Sheetmetal Trades Workers,65,Y,2
3222 Sheetmetal Trades Workers,75,Y,3
3222 Sheetmetal Trades Workers,70,N,1
3222 Sheetmetal Trades Workers,70,Y,1
3222 Sheetmetal Trades Workers,80,Y,2
3222 Sheetmetal Trades Workers,85,Y,1
3222 Sheetmetal Trades Workers,60,Y,1
2527 Speech Professionals and Audiologists,65,N,43
2527 Speech Professionals and Audiologists,65,Y,18
2527 Speech Professionals and Audiologists,75,N,24
2527 Speech Professionals and Audiologists,75,Y,44
2527 Speech Professionals and Audiologists,70,N,38
2527 Speech Professionals and Audiologists,70,Y,27
2527 Speech Professionals and Audiologists,80,N,10
2527 Speech Professionals and Audiologists,80,Y,21
2527 Speech Professionals and Audiologists,90,Y,2
2527 Speech Professionals and Audiologists,85,N,3
2527 Speech Professionals and Audiologists,85,Y,13
2527 Speech Professionals and Audiologists,55,N,11
2527 Speech Professionals and Audiologists,60,N,14
2527 Speech Professionals and Audiologists,60,Y,4
2527 Speech Professionals and Audiologists,50,N,4
2527 Speech Professionals and Audiologists,100,N,1
2527 Speech Professionals and Audiologists,45,N,1
2524 Occupational Therapists,65,N,56
2524 Occupational Therapists,65,Y,26
2524 Occupational Therapists,75,N,63
2524 Occupational Therapists,75,Y,111
2524 Occupational Therapists,70,N,90
2524 Occupational Therapists,70,Y,63
2524 Occupational Therapists,80,N,14
2524 Occupational Therapists,80,Y,31
2524 Occupational Therapists,95,Y,1
2524 Occupational Therapists,90,N,1
2524 Occupational Therapists,90,Y,1
2524 Occupational Therapists,85,N,1
2524 Occupational Therapists,85,Y,14
2524 Occupational Therapists,55,N,13
2524 Occupational Therapists,60,N,15
2524 Occupational Therapists,60,Y,5
2524 Occupational Therapists,50,N,4
2524 Occupational Therapists,50,Y,1
2524 Occupational Therapists,40,N,1
2524 Occupational Therapists,45,N,2
2524 Occupational Therapists,115,Y,3
2519 Other Health Diagnostic and Promotion Professionals,65,N,2
2519 Other Health Diagnostic and Promotion Professionals,65,Y,1
2519 Other Health Diagnostic and Promotion Professionals,75,N,4
2519 Other Health Diagnostic and Promotion Professionals,75,Y,1
2519 Other Health Diagnostic and Promotion Professionals,70,N,3
2519 Other Health Diagnostic and Promotion Professionals,70,Y,1
2519 Other Health Diagnostic and Promotion Professionals,80,N,1
2519 Other Health Diagnostic and Promotion Professionals,55,Y,1
3421 Airconditioning and Refrigeration Mechanics,65,N,11
3421 Airconditioning and Refrigeration Mechanics,65,Y,7
3421 Airconditioning and Refrigeration Mechanics,75,N,4
3421 Airconditioning and Refrigeration Mechanics,75,Y,1
3421 Airconditioning and Refrigeration Mechanics,70,N,8
3421 Airconditioning and Refrigeration Mechanics,70,Y,3
3421 Airconditioning and Refrigeration Mechanics,80,N,1
3421 Airconditioning and Refrigeration Mechanics,55,N,3
3421 Airconditioning and Refrigeration Mechanics,55,Y,3
3421 Airconditioning and Refrigeration Mechanics,60,N,4
3421 Airconditioning and Refrigeration Mechanics,60,Y,2
3421 Airconditioning and Refrigeration Mechanics,50,N,2
3421 Airconditioning and Refrigeration Mechanics,50,Y,1
3421 Airconditioning and Refrigeration Mechanics,45,N,1
3421 Airconditioning and Refrigeration Mechanics,35,N,1
2346 Medical Laboratory Scientists,65,N,62
2346 Medical Laboratory Scientists,65,Y,37
2346 Medical Laboratory Scientists,75,N,120
2346 Medical Laboratory Scientists,75,Y,80
2346 Medical Laboratory Scientists,70,N,88
2346 Medical Laboratory Scientists,70,Y,52
2346 Medical Laboratory Scientists,80,N,47
2346 Medical Laboratory Scientists,80,Y,46
2346 Medical Laboratory Scientists,95,Y,1
2346 Medical Laboratory Scientists,90,N,3
2346 Medical Laboratory Scientists,90,Y,8
2346 Medical Laboratory Scientists,85,N,5
2346 Medical Laboratory Scientists,85,Y,26
2346 Medical Laboratory Scientists,55,N,7
2346 Medical Laboratory Scientists,60,N,12
2346 Medical Laboratory Scientists,60,Y,8
2346 Medical Laboratory Scientists,50,N,1
2346 Medical Laboratory Scientists,100,Y,1
2346 Medical Laboratory Scientists,45,N,3
2415 Special Education Teachers,65,N,24
2415 Special Education Teachers,65,Y,5
2415 Special Education Teachers,75,N,19
2415 Special Education Teachers,75,Y,4
2415 Special Education Teachers,70,N,12
2415 Special Education Teachers,70,Y,8
2415 Special Education Teachers,80,N,3
2415 Special Education Teachers,80,Y,4
2415 Special Education Teachers,55,N,3
2415 Special Education Teachers,60,N,6
2415 Special Education Teachers,60,Y,3
2415 Special Education Teachers,30,N,1
2723 Psychologists,65,N,34
2723 Psychologists,65,Y,9
2723 Psychologists,75,N,21
2723 Psychologists,75,Y,26
2723 Psychologists,70,N,36
2723 Psychologists,70,Y,16
2723 Psychologists,80,N,10
2723 Psychologists,80,Y,12
2723 Psychologists,95,Y,1
2723 Psychologists,90,N,2
2723 Psychologists,90,Y,1
2723 Psychologists,85,N,4
2723 Psychologists,85,Y,8
2723 Psychologists,55,N,4
2723 Psychologists,55,Y,2
2723 Psychologists,60,N,8
2723 Psychologists,60,Y,6
2723 Psychologists,50,N,5
2723 Psychologists,50,Y,1
2723 Psychologists,105,Y,1
2541 Midwives,65,N,21
2541 Midwives,65,Y,2
2541 Midwives,75,N,22
2541 Midwives,75,Y,7
2541 Midwives,70,N,25
2541 Midwives,70,Y,7
2541 Midwives,80,N,10
2541 Midwives,80,Y,3
2541 Midwives,90,N,1
2541 Midwives,85,Y,1
2541 Midwives,60,N,4
2541 Midwives,60,Y,3
2541 Midwives,50,N,1
2541 Midwives,40,N,1
2541 Midwives,45,N,1
3341 Plumbers,65,N,27
3341 Plumbers,65,Y,4
3341 Plumbers,75,N,5
3341 Plumbers,70,N,7
3341 Plumbers,70,Y,4
3341 Plumbers,80,N,1
3341 Plumbers,80,Y,5
3341 Plumbers,95,Y,1
3341 Plumbers,85,Y,1
3341 Plumbers,55,N,8
3341 Plumbers,55,Y,1
3341 Plumbers,60,N,15
3341 Plumbers,60,Y,3
3341 Plumbers,50,N,3
3341 Plumbers,40,N,2
3341 Plumbers,45,N,4
3341 Plumbers,45,Y,1
3241 Panelbeaters,65,N,5
3241 Panelbeaters,65,Y,4
3241 Panelbeaters,70,N,1
3241 Panelbeaters,70,Y,2
3241 Panelbeaters,80,Y,1
3241 Panelbeaters,85,Y,1
3241 Panelbeaters,55,N,1
3241 Panelbeaters,55,Y,1
3241 Panelbeaters,60,Y,1
3241 Panelbeaters,45,Y,1
3991 Boat Builders and Shipwrights,65,Y,8
3991 Boat Builders and Shipwrights,75,Y,6
3991 Boat Builders and Shipwrights,70,Y,6
3991 Boat Builders and Shipwrights,80,Y,1
3991 Boat Builders and Shipwrights,55,Y,1
3991 Boat Builders and Shipwrights,60,N,1
3991 Boat Builders and Shipwrights,60,Y,1
2533 Internal Medicine Specialists,65,N,13
2533 Internal Medicine Specialists,65,Y,5
2533 Internal Medicine Specialists,75,N,8
2533 Internal Medicine Specialists,75,Y,2
2533 Internal Medicine Specialists,70,N,13
2533 Internal Medicine Specialists,70,Y,1
2533 Internal Medicine Specialists,80,N,7
2533 Internal Medicine Specialists,95,N,1
2533 Internal Medicine Specialists,95,Y,1
2533 Internal Medicine Specialists,90,N,1
2533 Internal Medicine Specialists,85,N,4
2533 Internal Medicine Specialists,85,Y,2
2533 Internal Medicine Specialists,55,N,6
2533 Internal Medicine Specialists,60,N,11
2533 Internal Medicine Specialists,50,N,3
2533 Internal Medicine Specialists,40,N,1
3332 Plasterers,65,N,5
3332 Plasterers,65,Y,21
3332 Plasterers,75,Y,9
3332 Plasterers,70,N,1
3332 Plasterers,70,Y,13
3332 Plasterers,80,Y,1
3332 Plasterers,55,N,2
3332 Plasterers,55,Y,3
3332 Plasterers,60,N,3
3332 Plasterers,60,Y,7
3332 Plasterers,50,N,1
3332 Plasterers,45,N,1
3332 Plasterers,45,Y,1
3611 Animal Attendants and Trainers,65,Y,2
3611 Animal Attendants and Trainers,80,Y,1
3334 Wall and Floor Tilers,65,N,8
3334 Wall and Floor Tilers,65,Y,67
3334 Wall and Floor Tilers,75,N,2
3334 Wall and Floor Tilers,75,Y,11
3334 Wall and Floor Tilers,70,N,9
3334 Wall and Floor Tilers,70,Y,26
3334 Wall and Floor Tilers,80,Y,3
3334 Wall and Floor Tilers,85,Y,3
3334 Wall and Floor Tilers,55,N,2
3334 Wall and Floor Tilers,55,Y,13
3334 Wall and Floor Tilers,60,N,5
3334 Wall and Floor Tilers,60,Y,35
3334 Wall and Floor Tilers,50,N,1
3334 Wall and Floor Tilers,50,Y,2
2112 Music Professionals,65,N,4
2112 Music Professionals,65,Y,1
2112 Music Professionals,75,Y,1
2112 Music Professionals,70,N,1
2112 Music Professionals,70,Y,2
2112 Music Professionals,85,N,1
2112 Music Professionals,85,Y,1
2112 Music Professionals,55,Y,1
2112 Music Professionals,60,N,1
2112 Music Professionals,50,N,1
2112 Music Professionals,45,N,1
3211 Automotive Electricians,65,N,5
3211 Automotive Electricians,65,Y,23
3211 Automotive Electricians,75,N,1
3211 Automotive Electricians,75,Y,6
3211 Automotive Electricians,70,N,3
3211 Automotive Electricians,70,Y,15
3211 Automotive Electricians,80,Y,6
3211 Automotive Electricians,95,Y,1
3211 Automotive Electricians,55,N,2
3211 Automotive Electricians,55,Y,3
3211 Automotive Electricians,60,N,3
3211 Automotive Electricians,60,Y,10
3211 Automotive Electricians,50,N,12
3211 Automotive Electricians,50,Y,3
3211 Automotive Electricians,40,N,2
3211 Automotive Electricians,40,Y,1
3211 Automotive Electricians,45,N,3
3211 Automotive Electricians,45,Y,1
2534 Psychiatrists,65,N,3
2534 Psychiatrists,75,N,5
2534 Psychiatrists,70,N,7
2534 Psychiatrists,80,N,2
2534 Psychiatrists,85,N,2
2534 Psychiatrists,55,N,1
2534 Psychiatrists,60,N,3
2514 Optometrists and Orthoptists,65,N,1
2514 Optometrists and Orthoptists,65,Y,2
2514 Optometrists and Orthoptists,75,N,3
2514 Optometrists and Orthoptists,75,Y,11
2514 Optometrists and Orthoptists,70,N,2
2514 Optometrists and Orthoptists,70,Y,7
2514 Optometrists and Orthoptists,80,Y,6
2514 Optometrists and Orthoptists,95,Y,1
2514 Optometrists and Orthoptists,85,N,1
2514 Optometrists and Orthoptists,85,Y,4
2514 Optometrists and Orthoptists,60,Y,1
2514 Optometrists and Orthoptists,50,N,1
2535 Surgeons,65,N,6
2535 Surgeons,65,Y,1
2535 Surgeons,75,N,3
2535 Surgeons,75,Y,1
2535 Surgeons,70,N,1
2535 Surgeons,70,Y,1
2535 Surgeons,80,N,2
2535 Surgeons,95,N,1
2535 Surgeons,85,N,2
2535 Surgeons,55,N,2
2535 Surgeons,60,N,1
2535 Surgeons,50,N,1
2535 Surgeons,100,Y,1
3422 Electrical Distribution Trades Workers,70,N,1
3422 Electrical Distribution Trades Workers,60,N,1
2526 Podiatrists,65,N,3
2526 Podiatrists,65,Y,3
2526 Podiatrists,75,N,4
2526 Podiatrists,75,Y,12
2526 Podiatrists,70,N,5
2526 Podiatrists,70,Y,3
2526 Podiatrists,80,N,5
2526 Podiatrists,55,N,1
2526 Podiatrists,60,N,3
2526 Podiatrists,60,Y,1
"2111 Actors, Dancers and Other Entertainers",65,N,1
"2111 Actors, Dancers and Other Entertainers",65,Y,2
"2111 Actors, Dancers and Other Entertainers",75,N,3
"2111 Actors, Dancers and Other Entertainers",75,Y,1
"2111 Actors, Dancers and Other Entertainers",70,N,1
"2111 Actors, Dancers and Other Entertainers",80,N,1
"2111 Actors, Dancers and Other Entertainers",80,Y,2
"2111 Actors, Dancers and Other Entertainers",85,N,1
4524 Sportspersons,70,N,1
4524 Sportspersons,80,N,1
4524 Sportspersons,55,Y,1
