StatusMonth,OccGroup,all189,no189
2025-02,1419 Other Accommodation and Hospitality Managers,0,3
2025-02,3111 Agricultural Technicians,0,6
2025-02,2724 Social Professionals,0,3
2025-02,4114 Enrolled and Mothercraft Nurses,0,68
2025-02,3411 Electricians,2,8
2025-02,2525 Physiotherapists,13,12
2025-02,1494 Transport Services Managers,0,3
2025-02,2253 Public Relations Professionals,0,2
2025-02,2512 Medical Imaging Professionals,0,6
2025-02,3131 ICT Support Technicians,0,9
2025-02,"4523 Sports Coaches, Instructors and Officials",0,2
2025-02,3911 Hairdressers,0,2
2025-02,2513 Occupational and Environmental Health Professionals,0,6
2025-02,2527 Speech Professionals and Audiologists,3,23
2025-02,3129 Other Building and Engineering Technicians,0,11
2025-02,2492 Private Tutors and Teachers,0,5
2025-02,2524 Occupational Therapists,9,8
2025-02,2519 Other Health Diagnostic and Promotion Professionals,0,5
2025-02,3421 Airconditioning and Refrigeration Mechanics,2,3
2025-02,2346 Medical Laboratory Scientists,1,1
2025-02,1493 Conference and Event Organisers,0,8
2025-02,2723 Psychologists,0,4
2025-02,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,2
2025-02,3126 Safety Inspectors,0,1
2025-02,4111 Ambulance Officers and Paramedics,0,5
2025-02,2113 Photographers,0,1
2025-02,"4112 Dental Hygienists, Technicians and Therapists",0,8
2025-02,3341 Plumbers,3,11
2025-02,2491 Education Advisers and Reviewers,0,2
2025-02,2511 Dietitians,0,5
2025-02,2244 Intelligence and Policy Analysts,0,2
2025-02,2232 ICT Trainers,0,1
2025-02,3241 Panelbeaters,1,0
2025-02,3424 Telecommunications Trades Workers,0,3
2025-02,2721 Counsellors,0,8
2025-02,4113 Diversional Therapists,0,6
2025-02,2533 Internal Medicine Specialists,4,0
2025-02,3332 Plasterers,1,6
2025-02,3334 Wall and Floor Tilers,3,3
2025-02,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,3
2025-02,2522 Complementary Health Therapists,0,3
2025-02,2523 Dental Practitioners,0,14
2025-02,1343 School Principals,0,2
2025-02,3211 Automotive Electricians,0,5
2025-02,1344 Other Education Managers,0,1
2025-02,2534 Psychiatrists,1,0
2025-02,2514 Optometrists and Orthoptists,0,1
2025-02,4412 Fire and Emergency Workers,0,1
2025-02,4518 Other Personal Service Workers,0,3
2024-11,2613 Software and Applications Programmers,1185,110
2024-11,3212 Motor Mechanics,38,39
2024-11,2332 Civil Engineering Professionals,1163,115
2024-11,2411 Early Childhood (Pre-primary School) Teachers,1024,55
2024-11,2611 ICT Business and Systems Analysts,545,69
2024-11,2211 Accountants,816,131
2024-11,2344 Geologists Geophysicists and Hydrogeologists,5,4
2024-11,"2621 Database and Systems Administrators, and ICT Security Specialists",208,26
2024-11,4117 Welfare Support Workers,0,43
2024-11,"2212 Auditors, Company Secretaries and Corporate Treasurers",467,21
2024-11,2345 Life Scientists,137,11
2024-11,"2335 Industrial, Mechanical and Production Engineers",682,67
2024-11,2339 Other Engineering Professionals,480,58
2024-11,2341 Agricultural and Forestry Scientists,50,9
2024-11,2544 Registered Nurses,1823,142
2024-11,3513 Chefs,211,249
2024-11,2334 Electronics Engineers,170,13
2024-11,3232 Metal Fitters and Machinists,5,10
2024-11,3114 Science Technicians,0,8
2024-11,3622 Gardeners,0,2
2024-11,"2324 Graphic and Web Designers, and Illustrators",0,10
2024-11,2631 Computer Network Professionals,220,25
2024-11,"2342 Chemists, and Food and Wine Scientists",49,7
2024-11,2713 Solicitors,108,4
2024-11,1311 Advertising and Sales Managers,0,9
2024-11,1322 Finance Managers,0,7
2024-11,"3121 Architectural, Building and Surveying Technicians",0,25
2024-11,2331 Chemical and Materials Engineers,138,7
2024-11,2251 Advertising and Marketing Professionals,0,49
2024-11,3123 Electrical Engineering Draftspersons and Technicians,3,6
2024-11,2231 Human Resource Professionals,0,11
2024-11,3514 Cooks,0,35
2024-11,2333 Electrical Engineers,225,37
2024-11,2223 Financial Investment Advisers and Managers,0,17
2024-11,2321 Architects and Landscape Architects,532,3
2024-11,3112 Medical Technicians,0,21
2024-11,2531 General Practitioners and Resident Medical officers,209,30
2024-11,1323 Human Resource Managers,0,2
2024-11,3113 Primary Products Inspectors,0,3
2024-11,1335 Production Managers,0,22
2024-11,2515 Pharmacists,0,32
2024-11,1351 ICT Managers,0,21
2024-11,2247 Management and Organisation Analysts,72,8
2024-11,2347 Veterinarians,25,3
2024-11,2414 Secondary School Teachers,277,19
2024-11,1341 Child Care Centre Managers,3,1
2024-11,3125 Mechanical Engineering Draftspersons and Technicians,0,3
2024-11,2412 Primary School Teachers,0,26
2024-11,"2241 Actuaries, Mathematicians and Statisticians",111,14
2024-11,2421 University Lecturers and Tutors,152,18
2024-11,1411 Cafe and Restaurant Managers,0,37
2024-11,2633 Telecommunications Engineering Professionals,120,7
2024-11,3511 Bakers and Pastrycooks,0,6
2024-11,1332 Engineering Managers,2,2
2024-11,"1499 Other Hospitality, Retail and Service Managers",0,6
2024-11,3122 Civil Engineering Draftspersons and Technicians,1249,15
2024-11,1399 Other Specialist Managers,11,2
2024-11,"5111 Contract, Program and Project Administrators",0,8
2024-11,2322 Cartographers and Surveyors,29,5
2024-11,1325 Research and Development Managers,0,2
2024-11,2245 Land Economists and Valuers,5,0
2024-11,2252 ICT Sales Professionals,0,1
2024-11,2336 Mining Engineers,46,9
2024-11,2612 Multimedia Specialists and Web Developers,62,3
2024-11,3223 Structural Steel and Welding Trades Workers,99,14
2024-11,2349 Other Natural and Physical Science Professionals,21,2
2024-11,1321 Corporate Services Managers,0,3
2024-11,2326 Urban and Regional Planners,0,8
2024-11,2632 ICT Support and Test Engineers,0,21
2024-11,2325 Interior Designers,0,2
2024-11,1331 Construction Managers,607,15
2024-11,2343 Environmental Scientists,59,9
2024-11,3132 Telecommunications Technical Specialists,10,1
2024-11,3312 Carpenters and Joiners,221,30
2024-11,1334 Manufacturers,0,2
2024-11,2725 Social Workers,245,10
2024-11,1413 Hotel and Motel Managers,0,13
2024-11,2249 Other Information and Organisation Professionals,0,22
2024-11,3322 Painting Trades Workers,167,9
2024-11,3423 Electronics Trades Workers,1,0
2024-11,2521 Chiropractors and Osteopaths,11,0
2024-11,2493 Teachers of English to Speakers of Other Languages,0,9
2024-11,2124 Journalists and Other Writers,0,7
2024-11,1212 Crop Farmers,0,5
2024-11,3941 Cabinetmakers,16,3
2024-11,2243 Economists,19,2
2024-11,6121 Real Estate Sales Agents,0,1
2024-11,3311 Bricklayers and Stonemasons,23,2
2024-11,"2726 Welfare, Recreation and Community Arts Workers",0,16
2024-11,"2323 Fashion, Industrial and Jewellery Designers",0,1
2024-11,1336 Supply and Distribution Managers,0,2
2024-11,1342 Health and Welfare Services Managers,3,6
2024-11,"2123 Film, Television, Radio and Stage Directors",0,2
2024-11,3231 Aircraft Maintenance Engineers,0,3
2024-11,1492 Call or Contact Centre and Customer Service Managers,0,6
2024-11,2221 Financial Brokers,0,1
2024-11,2539 Other Medical Practitioners,175,3
2024-11,3111 Agricultural Technicians,0,7
2024-11,2724 Social Professionals,0,7
2024-11,4114 Enrolled and Mothercraft Nurses,0,32
2024-11,3411 Electricians,28,16
2024-11,2525 Physiotherapists,237,14
2024-11,1494 Transport Services Managers,0,1
2024-11,2253 Public Relations Professionals,0,5
2024-11,2512 Medical Imaging Professionals,47,2
2024-11,3131 ICT Support Technicians,0,4
2024-11,"4523 Sports Coaches, Instructors and Officials",0,1
2024-11,3911 Hairdressers,0,2
2024-11,3222 Sheetmetal Trades Workers,3,1
2024-11,2513 Occupational and Environmental Health Professionals,0,10
2024-11,2527 Speech Professionals and Audiologists,70,4
2024-11,1213 Livestock Farmers,0,2
2024-11,"2242 Archivists, Curators and Records Managers",0,1
2024-11,3129 Other Building and Engineering Technicians,0,11
2024-11,2492 Private Tutors and Teachers,0,4
2024-11,2524 Occupational Therapists,141,11
2024-11,2519 Other Health Diagnostic and Promotion Professionals,1,8
2024-11,3421 Airconditioning and Refrigeration Mechanics,1,4
2024-11,2346 Medical Laboratory Scientists,146,0
2024-11,2415 Special Education Teachers,13,1
2024-11,1493 Conference and Event Organisers,0,9
2024-11,2712 Judicial and Other Legal Professionals,0,1
2024-11,2222 Financial Dealers,0,3
2024-11,2723 Psychologists,44,14
2024-11,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2024-11,4111 Ambulance Officers and Paramedics,0,2
2024-11,2113 Photographers,0,1
2024-11,2541 Midwives,21,1
2024-11,3341 Plumbers,17,4
2024-11,2491 Education Advisers and Reviewers,0,1
2024-11,2511 Dietitians,0,4
2024-11,1421 Retail Managers,0,1
2024-11,2232 ICT Trainers,0,2
2024-11,3241 Panelbeaters,0,1
2024-11,2246 Librarians,0,2
2024-11,3424 Telecommunications Trades Workers,0,5
2024-11,2721 Counsellors,0,14
2024-11,3991 Boat Builders and Shipwrights,1,0
2024-11,4113 Diversional Therapists,0,5
2024-11,2533 Internal Medicine Specialists,14,0
2024-11,3332 Plasterers,10,2
2024-11,3334 Wall and Floor Tilers,36,4
2024-11,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,2
2024-11,2543 Nurse Managers,0,1
2024-11,2523 Dental Practitioners,0,6
2024-11,1343 School Principals,0,2
2024-11,2112 Music Professionals,3,0
2024-11,3211 Automotive Electricians,0,1
2024-11,1344 Other Education Managers,0,2
2024-11,3234 Toolmakers and Engineering Patternmakers,0,1
2024-11,2534 Psychiatrists,7,0
2024-11,2514 Optometrists and Orthoptists,7,0
2024-11,2535 Surgeons,4,0
2024-11,2526 Podiatrists,5,2
2024-11,"2111 Actors, Dancers and Other Entertainers",1,0
2024-11,4512 Driving Instructors,0,1
2024-10,2613 Software and Applications Programmers,37,62
2024-10,3212 Motor Mechanics,4,15
2024-10,2332 Civil Engineering Professionals,33,68
2024-10,2411 Early Childhood (Pre-primary School) Teachers,29,42
2024-10,2611 ICT Business and Systems Analysts,28,41
2024-10,2211 Accountants,35,65
2024-10,2344 Geologists Geophysicists and Hydrogeologists,0,2
2024-10,"2621 Database and Systems Administrators, and ICT Security Specialists",12,21
2024-10,4117 Welfare Support Workers,0,37
2024-10,"2212 Auditors, Company Secretaries and Corporate Treasurers",9,8
2024-10,2345 Life Scientists,12,11
2024-10,"2335 Industrial, Mechanical and Production Engineers",19,27
2024-10,2339 Other Engineering Professionals,15,26
2024-10,2341 Agricultural and Forestry Scientists,1,8
2024-10,2544 Registered Nurses,70,73
2024-10,3513 Chefs,66,106
2024-10,2334 Electronics Engineers,3,10
2024-10,3232 Metal Fitters and Machinists,7,8
2024-10,3114 Science Technicians,0,6
2024-10,"2324 Graphic and Web Designers, and Illustrators",0,10
2024-10,2631 Computer Network Professionals,7,15
2024-10,"2342 Chemists, and Food and Wine Scientists",3,5
2024-10,2713 Solicitors,4,3
2024-10,1311 Advertising and Sales Managers,0,6
2024-10,1322 Finance Managers,0,9
2024-10,"3121 Architectural, Building and Surveying Technicians",0,17
2024-10,2331 Chemical and Materials Engineers,2,7
2024-10,2251 Advertising and Marketing Professionals,0,30
2024-10,2254 Technical Sales Representatives,0,2
2024-10,3123 Electrical Engineering Draftspersons and Technicians,0,2
2024-10,2231 Human Resource Professionals,0,7
2024-10,3514 Cooks,0,24
2024-10,2333 Electrical Engineers,7,18
2024-10,2223 Financial Investment Advisers and Managers,0,17
2024-10,2321 Architects and Landscape Architects,7,16
2024-10,3112 Medical Technicians,0,15
2024-10,2531 General Practitioners and Resident Medical officers,11,28
2024-10,1323 Human Resource Managers,0,7
2024-10,3113 Primary Products Inspectors,0,2
2024-10,1335 Production Managers,0,6
2024-10,2515 Pharmacists,0,29
2024-10,1351 ICT Managers,0,22
2024-10,2247 Management and Organisation Analysts,3,14
2024-10,2347 Veterinarians,0,1
2024-10,2414 Secondary School Teachers,18,24
2024-10,1341 Child Care Centre Managers,0,1
2024-10,3125 Mechanical Engineering Draftspersons and Technicians,0,1
2024-10,6112 Insurance Agents,0,2
2024-10,2412 Primary School Teachers,0,21
2024-10,"2241 Actuaries, Mathematicians and Statisticians",1,10
2024-10,3331 Glaziers,0,2
2024-10,2421 University Lecturers and Tutors,10,15
2024-10,1411 Cafe and Restaurant Managers,0,36
2024-10,2633 Telecommunications Engineering Professionals,2,11
2024-10,3511 Bakers and Pastrycooks,0,6
2024-10,1332 Engineering Managers,1,4
2024-10,"1499 Other Hospitality, Retail and Service Managers",0,4
2024-10,3122 Civil Engineering Draftspersons and Technicians,8,18
2024-10,1399 Other Specialist Managers,0,5
2024-10,"5111 Contract, Program and Project Administrators",0,9
2024-10,2322 Cartographers and Surveyors,3,4
2024-10,1325 Research and Development Managers,0,3
2024-10,2245 Land Economists and Valuers,0,1
2024-10,2252 ICT Sales Professionals,0,1
2024-10,2336 Mining Engineers,2,5
2024-10,2612 Multimedia Specialists and Web Developers,0,3
2024-10,3223 Structural Steel and Welding Trades Workers,4,4
2024-10,2349 Other Natural and Physical Science Professionals,0,6
2024-10,1321 Corporate Services Managers,0,6
2024-10,2326 Urban and Regional Planners,0,6
2024-10,2632 ICT Support and Test Engineers,0,18
2024-10,1331 Construction Managers,3,14
2024-10,3613 Veterinary Nurses,0,1
2024-10,2343 Environmental Scientists,3,8
2024-10,3132 Telecommunications Technical Specialists,1,1
2024-10,3312 Carpenters and Joiners,7,19
2024-10,1334 Manufacturers,0,5
2024-10,2725 Social Workers,11,13
2024-10,1413 Hotel and Motel Managers,0,18
2024-10,2249 Other Information and Organisation Professionals,0,11
2024-10,3322 Painting Trades Workers,2,7
2024-10,3423 Electronics Trades Workers,0,6
2024-10,2493 Teachers of English to Speakers of Other Languages,0,8
2024-10,2124 Journalists and Other Writers,0,2
2024-10,1212 Crop Farmers,0,2
2024-10,3941 Cabinetmakers,0,1
2024-10,3311 Bricklayers and Stonemasons,1,2
2024-10,"2726 Welfare, Recreation and Community Arts Workers",0,14
2024-10,1336 Supply and Distribution Managers,0,3
2024-10,1342 Health and Welfare Services Managers,2,11
2024-10,"2123 Film, Television, Radio and Stage Directors",0,2
2024-10,3231 Aircraft Maintenance Engineers,0,1
2024-10,1492 Call or Contact Centre and Customer Service Managers,0,5
2024-10,2221 Financial Brokers,0,1
2024-10,2539 Other Medical Practitioners,3,1
2024-10,1419 Other Accommodation and Hospitality Managers,0,2
2024-10,3111 Agricultural Technicians,0,2
2024-10,2724 Social Professionals,0,1
2024-10,4114 Enrolled and Mothercraft Nurses,0,27
2024-10,3411 Electricians,3,4
2024-10,2525 Physiotherapists,8,12
2024-10,1494 Transport Services Managers,0,1
2024-10,2253 Public Relations Professionals,0,3
2024-10,2512 Medical Imaging Professionals,1,1
2024-10,3131 ICT Support Technicians,0,4
2024-10,"4523 Sports Coaches, Instructors and Officials",0,2
2024-10,2513 Occupational and Environmental Health Professionals,0,8
2024-10,2527 Speech Professionals and Audiologists,2,2
2024-10,3129 Other Building and Engineering Technicians,0,7
2024-10,2492 Private Tutors and Teachers,0,1
2024-10,2524 Occupational Therapists,13,3
2024-10,2519 Other Health Diagnostic and Promotion Professionals,0,7
2024-10,3421 Airconditioning and Refrigeration Mechanics,2,2
2024-10,2346 Medical Laboratory Scientists,0,1
2024-10,1493 Conference and Event Organisers,0,2
2024-10,2712 Judicial and Other Legal Professionals,0,1
2024-10,2222 Financial Dealers,0,2
2024-10,2723 Psychologists,4,6
2024-10,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,1
2024-10,4111 Ambulance Officers and Paramedics,0,1
2024-10,2113 Photographers,0,1
2024-10,2541 Midwives,2,2
2024-10,3341 Plumbers,1,5
2024-10,2491 Education Advisers and Reviewers,0,1
2024-10,2511 Dietitians,0,7
2024-10,2244 Intelligence and Policy Analysts,0,2
2024-10,2232 ICT Trainers,0,1
2024-10,2246 Librarians,0,1
2024-10,3424 Telecommunications Trades Workers,0,1
2024-10,2721 Counsellors,0,9
2024-10,4113 Diversional Therapists,0,1
2024-10,2533 Internal Medicine Specialists,2,2
2024-10,3332 Plasterers,0,2
2024-10,3334 Wall and Floor Tilers,3,1
2024-10,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,1
2024-10,2522 Complementary Health Therapists,0,1
2024-10,2543 Nurse Managers,0,1
2024-10,2523 Dental Practitioners,0,7
2024-10,1343 School Principals,0,2
2024-10,3211 Automotive Electricians,0,1
2024-10,1344 Other Education Managers,0,2
2024-10,2514 Optometrists and Orthoptists,0,1
2024-10,2535 Surgeons,2,0
2024-10,3512 Butchers and Smallgoods Makers,0,1
2024-10,2526 Podiatrists,0,2
2024-10,"2122 Authors, and Book and Script Editors",0,1
2025-03,2613 Software and Applications Programmers,11,50
2025-03,3212 Motor Mechanics,5,32
2025-03,2332 Civil Engineering Professionals,27,60
2025-03,2411 Early Childhood (Pre-primary School) Teachers,71,77
2025-03,2611 ICT Business and Systems Analysts,15,39
2025-03,2211 Accountants,23,114
2025-03,2344 Geologists Geophysicists and Hydrogeologists,0,8
2025-03,"2621 Database and Systems Administrators, and ICT Security Specialists",5,22
2025-03,4117 Welfare Support Workers,0,91
2025-03,"2212 Auditors, Company Secretaries and Corporate Treasurers",4,12
2025-03,2345 Life Scientists,3,7
2025-03,"2335 Industrial, Mechanical and Production Engineers",4,29
2025-03,2339 Other Engineering Professionals,8,31
2025-03,2341 Agricultural and Forestry Scientists,2,4
2025-03,2544 Registered Nurses,58,94
2025-03,3513 Chefs,41,143
2025-03,2334 Electronics Engineers,2,8
2025-03,3232 Metal Fitters and Machinists,3,13
2025-03,3114 Science Technicians,0,9
2025-03,3622 Gardeners,0,1
2025-03,"2324 Graphic and Web Designers, and Illustrators",0,6
2025-03,2631 Computer Network Professionals,2,11
2025-03,4116 Massage Therapists,0,9
2025-03,"2342 Chemists, and Food and Wine Scientists",2,2
2025-03,2713 Solicitors,0,4
2025-03,1311 Advertising and Sales Managers,0,10
2025-03,1322 Finance Managers,0,12
2025-03,"3121 Architectural, Building and Surveying Technicians",0,43
2025-03,2331 Chemical and Materials Engineers,6,5
2025-03,2251 Advertising and Marketing Professionals,0,14
2025-03,3123 Electrical Engineering Draftspersons and Technicians,3,6
2025-03,2231 Human Resource Professionals,0,6
2025-03,3514 Cooks,0,52
2025-03,2333 Electrical Engineers,7,15
2025-03,2223 Financial Investment Advisers and Managers,0,10
2025-03,2321 Architects and Landscape Architects,20,15
2025-03,3112 Medical Technicians,0,40
2025-03,2531 General Practitioners and Resident Medical officers,27,26
2025-03,1323 Human Resource Managers,0,6
2025-03,3113 Primary Products Inspectors,0,3
2025-03,1335 Production Managers,0,1
2025-03,2515 Pharmacists,0,68
2025-03,1351 ICT Managers,0,20
2025-03,2247 Management and Organisation Analysts,1,8
2025-03,2414 Secondary School Teachers,36,53
2025-03,1341 Child Care Centre Managers,2,2
2025-03,6112 Insurance Agents,0,2
2025-03,2412 Primary School Teachers,0,44
2025-03,"2241 Actuaries, Mathematicians and Statisticians",2,2
2025-03,2421 University Lecturers and Tutors,8,10
2025-03,1411 Cafe and Restaurant Managers,0,57
2025-03,2633 Telecommunications Engineering Professionals,1,2
2025-03,3511 Bakers and Pastrycooks,0,7
2025-03,1332 Engineering Managers,1,6
2025-03,"1499 Other Hospitality, Retail and Service Managers",0,3
2025-03,3122 Civil Engineering Draftspersons and Technicians,16,27
2025-03,1399 Other Specialist Managers,1,4
2025-03,"5111 Contract, Program and Project Administrators",0,19
2025-03,2322 Cartographers and Surveyors,3,7
2025-03,1325 Research and Development Managers,0,1
2025-03,2252 ICT Sales Professionals,0,3
2025-03,2336 Mining Engineers,1,3
2025-03,2612 Multimedia Specialists and Web Developers,0,7
2025-03,3223 Structural Steel and Welding Trades Workers,4,15
2025-03,2349 Other Natural and Physical Science Professionals,0,4
2025-03,2326 Urban and Regional Planners,0,4
2025-03,2632 ICT Support and Test Engineers,0,23
2025-03,1331 Construction Managers,7,31
2025-03,3613 Veterinary Nurses,0,1
2025-03,2343 Environmental Scientists,2,7
2025-03,3132 Telecommunications Technical Specialists,1,3
2025-03,3312 Carpenters and Joiners,18,23
2025-03,1334 Manufacturers,0,3
2025-03,2725 Social Workers,12,23
2025-03,1413 Hotel and Motel Managers,0,24
2025-03,2249 Other Information and Organisation Professionals,0,6
2025-03,3322 Painting Trades Workers,4,7
2025-03,3423 Electronics Trades Workers,3,2
2025-03,2542 Nurse Educators and Researchers,0,1
2025-03,2493 Teachers of English to Speakers of Other Languages,0,4
2025-03,2124 Journalists and Other Writers,0,2
2025-03,1212 Crop Farmers,0,8
2025-03,3941 Cabinetmakers,0,3
2025-03,6121 Real Estate Sales Agents,0,3
2025-03,3311 Bricklayers and Stonemasons,2,7
2025-03,"2726 Welfare, Recreation and Community Arts Workers",0,22
2025-03,1342 Health and Welfare Services Managers,0,5
2025-03,"2123 Film, Television, Radio and Stage Directors",0,2
2025-03,3231 Aircraft Maintenance Engineers,0,1
2025-03,1492 Call or Contact Centre and Customer Service Managers,0,5
2025-03,2221 Financial Brokers,0,4
2025-03,2539 Other Medical Practitioners,5,3
2025-03,1419 Other Accommodation and Hospitality Managers,0,3
2025-03,3111 Agricultural Technicians,0,9
2025-03,4114 Enrolled and Mothercraft Nurses,0,79
2025-03,3411 Electricians,9,18
2025-03,2525 Physiotherapists,5,12
2025-03,1494 Transport Services Managers,0,4
2025-03,2253 Public Relations Professionals,0,6
2025-03,2512 Medical Imaging Professionals,2,2
2025-03,3131 ICT Support Technicians,0,3
2025-03,3911 Hairdressers,0,1
2025-03,2513 Occupational and Environmental Health Professionals,0,9
2025-03,2527 Speech Professionals and Audiologists,6,7
2025-03,"2242 Archivists, Curators and Records Managers",0,2
2025-03,3129 Other Building and Engineering Technicians,0,4
2025-03,2492 Private Tutors and Teachers,0,6
2025-03,2524 Occupational Therapists,6,9
2025-03,2519 Other Health Diagnostic and Promotion Professionals,0,3
2025-03,3421 Airconditioning and Refrigeration Mechanics,1,1
2025-03,2346 Medical Laboratory Scientists,2,3
2025-03,1493 Conference and Event Organisers,0,17
2025-03,2712 Judicial and Other Legal Professionals,0,1
2025-03,2222 Financial Dealers,0,1
2025-03,2723 Psychologists,0,12
2025-03,2422 Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0,2
2025-03,4111 Ambulance Officers and Paramedics,0,1
2025-03,"4112 Dental Hygienists, Technicians and Therapists",0,1
2025-03,2541 Midwives,3,1
2025-03,3341 Plumbers,1,8
2025-03,2491 Education Advisers and Reviewers,0,5
2025-03,2511 Dietitians,0,1
2025-03,2244 Intelligence and Policy Analysts,0,2
2025-03,2232 ICT Trainers,0,4
2025-03,3424 Telecommunications Trades Workers,0,1
2025-03,2721 Counsellors,0,10
2025-03,4113 Diversional Therapists,0,6
2025-03,2533 Internal Medicine Specialists,1,0
2025-03,3332 Plasterers,1,1
2025-03,3334 Wall and Floor Tilers,2,4
2025-03,2413 Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,6
2025-03,2522 Complementary Health Therapists,0,1
2025-03,2523 Dental Practitioners,0,11
2025-03,3211 Automotive Electricians,0,3
2025-03,1344 Other Education Managers,0,1
2025-03,3234 Toolmakers and Engineering Patternmakers,0,1
2025-03,2534 Psychiatrists,1,0
2025-03,"2122 Authors, and Book and Script Editors",0,1
2025-03,3624 Nurserypersons,0,1
2026-08,2613 Software and Applications Programmers,0,4
2026-08,3212 Motor Mechanics,0,1
2026-08,2332 Civil Engineering Professionals,10,27
2026-08,2411 Early Childhood (Pre-primary School) Teachers,7,10
2026-08,2611 ICT Business and Systems Analysts,0,12
2026-08,2211 Accountants,3,23
2026-08,"2621 Database and Systems Administrators, and ICT Security Specialists",0,1
2026-08,4117 Welfare Support Workers,0,6
2026-08,"2212 Auditors, Company Secretaries and Corporate Treasurers",0,2
2026-08,"2335 Industrial, Mechanical and Production Engineers",1,6
2026-08,2339 Other Engineering Professionals,1,7
2026-08,2341 Agricultural and Forestry Scientists,2,5
2026-08,2544 Registered Nurses,13,14
2026-08,3513 Chefs,17,31
2026-08,2334 Electronics Engineers,0,1
2026-08,3114 Science Technicians,0,1
2026-08,"2324 Graphic and Web Designers, and Illustrators",0,1
2026-08,2631 Computer Network Professionals,1,1
2026-08,4116 Massage Therapists,0,1
2026-08,"3121 Architectural, Building and Surveying Technicians",0,7
2026-08,2251 Advertising and Marketing Professionals,0,1
2026-08,3514 Cooks,0,5
2026-08,2333 Electrical Engineers,0,4
2026-08,2321 Architects and Landscape Architects,0,1
2026-08,3112 Medical Technicians,0,12
2026-08,2531 General Practitioners and Resident Medical officers,1,5
2026-08,1323 Human Resource Managers,0,1
2026-08,2515 Pharmacists,0,10
2026-08,2414 Secondary School Teachers,0,6
2026-08,2412 Primary School Teachers,0,4
2026-08,"2241 Actuaries, Mathematicians and Statisticians",1,0
2026-08,2421 University Lecturers and Tutors,0,1
2026-08,1411 Cafe and Restaurant Managers,0,8
2026-08,3511 Bakers and Pastrycooks,0,2
2026-08,3122 Civil Engineering Draftspersons and Technicians,4,7
2026-08,"5111 Contract, Program and Project Administrators",0,2
2026-08,2252 ICT Sales Professionals,0,1
2026-08,2326 Urban and Regional Planners,0,1
2026-08,2632 ICT Support and Test Engineers,0,2
2026-08,3613 Veterinary Nurses,0,1
2026-08,3132 Telecommunications Technical Specialists,0,1
2026-08,3312 Carpenters and Joiners,2,10
2026-08,2725 Social Workers,1,2
2026-08,1413 Hotel and Motel Managers,0,3
2026-08,2249 Other Information and Organisation Professionals,0,1
2026-08,3322 Painting Trades Workers,2,3
2026-08,3941 Cabinetmakers,0,1
2026-08,"2726 Welfare, Recreation and Community Arts Workers",0,3
2026-08,2539 Other Medical Practitioners,1,0
2026-08,4114 Enrolled and Mothercraft Nurses,0,8
2026-08,3411 Electricians,2,1
2026-08,2525 Physiotherapists,1,0
2026-08,"4523 Sports Coaches, Instructors and Officials",0,1
2026-08,3911 Hairdressers,0,2
2026-08,2524 Occupational Therapists,0,1
2026-08,2346 Medical Laboratory Scientists,0,1
2026-08,1493 Conference and Event Organisers,0,1
2026-08,2511 Dietitians,0,1
2026-08,2721 Counsellors,0,1
2026-08,3332 Plasterers,1,0
2026-08,3334 Wall and Floor Tilers,1,1
2026-08,2523 Dental Practitioners,0,1
2025-04,2613 Software and Applications Programmers,20,90
2025-04,3212 Motor Mechanics,5,25
2025-04,2332 Civil Engineering Professionals,30,63
2025-04,2411 Early Childhood (Pre-primary School) Teachers,31,77
2025-04,2611 ICT Business and Systems Analysts,14,63
2025-04,2211 Accountants,12,57
2025-04,2344 Geologists Geophysicists and Hydrogeologists,0,5
2025-04,"2621 Database and Systems Administrators, and ICT Security Specialists",3,26
2025-04,4117 Welfare Support Workers,0,69
2025-04,"2212 Auditors, Company Secretaries and Corporate Treasurers",3,14
2025-04,2345 Life Scientists,1,5
2025-04,"2335 Industrial, Mechanical and Production Engineers",11,49
2025-04,2339 Other Engineering Professionals,5,35
2025-04,2341 Agricultural and Forestry Scientists,4,2
2025-04,2544 Registered Nurses,101,208
2025-04,3513 Chefs,23,83
2025-04,2334 Electronics Engineers,3,5
2025-04,3232 Metal Fitters and Machinists,1,22
2025-04,3114 Science Technicians,0,7
2025-04,"2324 Graphic and Web Designers, and Illustrators",0,7
2025-04,2631 Computer Network Professionals,4,24
2025-04,4116 Massage Therapists,0,3
2025-04,"2342 Chemists, and Food and Wine Scientists",1,5
2025-04,2713 Solicitors,1,1
2025-04,1311 Advertising and Sales Managers,0,7
2025-04,1322 Finance Managers,0,6
2025-04,"3121 Architectural, Building and Surveying Technicians",0,28
2025-04,2331 Chemical and Materials Engineers,2,6
2025-04,2251 Advertising and Marketing Professionals,0,13
2025-04,3123 Electrical Engineering Draftspersons and Technicians,1,7
2025-04,2231 Human Resource Professionals,0,5
2025-04,3514 Cooks,0,50
