AsAt,OccGroup,Score,n,maxsub,minsub
09/2025,2521 Chiropractors and Osteopaths,85,1,45867.53747369213,45867.53747369213
09/2025,2521 Chiropractors and Osteopaths,55,1,45797.66140138889,45797.66140138889
09/2025,2521 Chiropractors and Osteopaths,60,1,45669.55594679398,45669.55594679398
09/2025,3941 Cabinetmakers,65,15,45909.76983483796,45301.92741600695
09/2025,3941 Cabinetmakers,75,1,45666.439884340274,45666.439884340274
09/2025,3941 Cabinetmakers,70,9,45896.79118680555,45603.863669212966
09/2025,3941 Cabinetmakers,80,1,45666.548107870374,45666.548107870374
09/2025,3941 Cabinetmakers,85,1,45796.826726388885,45796.826726388885
09/2025,3941 Cabinetmakers,55,2,45757.7150619213,45621.748871296295
09/2025,3941 Cabinetmakers,60,1,45611.76769594908,45611.76769594908
09/2025,3941 Cabinetmakers,50,3,45914.522510613424,45558.917021030094
09/2025,2243 Economists,65,11,45913.61347037037,45480.35520744213
09/2025,2243 Economists,75,15,45877.674612268514,45250.57647025463
09/2025,2243 Economists,70,8,45916.75568996528,45378.55563556713
09/2025,2243 Economists,80,17,45888.62054675926,45235.086913541665
09/2025,2243 Economists,95,1,45433.70388645833,45433.70388645833
09/2025,2243 Economists,90,1,45734.728018368056,45734.728018368056
09/2025,2243 Economists,85,16,45921.55138128472,45514.81815613426
09/2025,2243 Economists,55,2,45897.68243572916,45769.704589201385
09/2025,2243 Economists,60,4,45705.81469918982,45464.59092407407
09/2025,3311 Bricklayers and Stonemasons,65,1,45896.919717129625,45896.919717129625
09/2025,3311 Bricklayers and Stonemasons,70,1,45929.41648483796,45929.41648483796
09/2025,3311 Bricklayers and Stonemasons,55,2,45919.7466431713,45776.63288846065
09/2025,3311 Bricklayers and Stonemasons,60,10,45929.958237349536,45465.01374841435
09/2025,1342 Health and Welfare Services Managers,65,10,45929.78453379629,45361.06759212963
09/2025,1342 Health and Welfare Services Managers,75,3,45857.84052881945,45623.54506458333
09/2025,1342 Health and Welfare Services Managers,70,9,45869.21627554398,45441.97579482639
09/2025,1342 Health and Welfare Services Managers,80,3,45898.45663741898,45882.48911628472
09/2025,1342 Health and Welfare Services Managers,85,3,45783.5596653588,45540.58291412037
09/2025,1342 Health and Welfare Services Managers,60,2,45813.1895415162,45668.89667769676
09/2025,2539 Other Medical Practitioners,65,25,45930.70758915509,45370.39807491898
09/2025,2539 Other Medical Practitioners,75,47,45921.529405636575,45313.13687079861
09/2025,2539 Other Medical Practitioners,70,44,45924.904071956014,45308.96216712963
09/2025,2539 Other Medical Practitioners,80,28,45929.47954984954,45512.731931215276
09/2025,2539 Other Medical Practitioners,95,1,45921.71406570602,45921.71406570602
09/2025,2539 Other Medical Practitioners,90,4,45907.49684571759,45543.69025709491
09/2025,2539 Other Medical Practitioners,85,8,45925.78635162037,45755.346184525464
09/2025,2539 Other Medical Practitioners,55,2,45805.86152677084,45620.47906770834
09/2025,2539 Other Medical Practitioners,60,7,45866.82680228009,45594.717645833334
09/2025,2539 Other Medical Practitioners,50,2,45868.879053275465,45846.75719282407
09/2025,3411 Electricians,65,6,45927.608481828705,45589.0503372338
09/2025,3411 Electricians,75,1,45894.95692577546,45894.95692577546
09/2025,3411 Electricians,70,5,45923.54550019676,45642.97364575231
09/2025,3411 Electricians,80,3,45912.57550960648,45896.46917306713
09/2025,3411 Electricians,55,5,45907.85082438657,45687.93341253472
09/2025,3411 Electricians,60,5,45917.70151539352,45564.901673148146
09/2025,3411 Electricians,50,1,45556.74640775463,45556.74640775463
09/2025,2525 Physiotherapists,65,43,45923.52574332176,45212.53081519676
09/2025,2525 Physiotherapists,75,85,45920.062776736115,45299.66519085648
09/2025,2525 Physiotherapists,70,75,45904.865559259255,45394.54341825232
09/2025,2525 Physiotherapists,80,24,45928.91663263889,45357.538081018516
09/2025,2525 Physiotherapists,85,5,45930.39939849537,45484.46571149306
09/2025,2525 Physiotherapists,55,5,45820.813865972224,45540.422414155095
09/2025,2525 Physiotherapists,60,5,45907.51408101852,45575.6923190625
09/2025,2525 Physiotherapists,50,3,45789.10538434028,45722.137350694444
09/2025,2525 Physiotherapists,40,1,45694.600533020835,45694.600533020835
09/2025,2512 Medical Imaging Professionals,65,16,45897.865619062504,45493.96220917824
09/2025,2512 Medical Imaging Professionals,75,36,45929.201635185185,45295.50095381944
09/2025,2512 Medical Imaging Professionals,70,25,45920.56079186343,45265.94593877315
09/2025,2512 Medical Imaging Professionals,80,7,45929.75058310185,45670.61410925926
09/2025,2512 Medical Imaging Professionals,95,1,45298.82767384259,45298.82767384259
09/2025,2512 Medical Imaging Professionals,85,1,45894.38415528935,45894.38415528935
09/2025,2512 Medical Imaging Professionals,55,2,45849.82571975695,45647.288331979165
09/2025,2512 Medical Imaging Professionals,60,2,45605.108147534724,45405.94942913194
09/2025,"4523 Sports Coaches, Instructors and Officials",65,1,45575.27171068287,45575.27171068287
09/2025,"4523 Sports Coaches, Instructors and Officials",70,1,45581.493528935185,45581.493528935185
09/2025,"4523 Sports Coaches, Instructors and Officials",90,1,45821.54528052083,45821.54528052083
09/2025,"4523 Sports Coaches, Instructors and Officials",85,1,45640.865422916664,45640.865422916664
09/2025,"4523 Sports Coaches, Instructors and Officials",60,1,45565.733283761576,45565.733283761576
09/2025,3222 Sheetmetal Trades Workers,75,1,45688.70005810185,45688.70005810185
09/2025,2527 Speech Professionals and Audiologists,65,22,45887.74545231482,45438.653620717596
09/2025,2527 Speech Professionals and Audiologists,75,28,45896.67588321759,45244.51799945602
09/2025,2527 Speech Professionals and Audiologists,70,37,45894.980907060184,45309.00759309028
09/2025,2527 Speech Professionals and Audiologists,80,2,45854.75164991898,45762.69342149305
09/2025,2527 Speech Professionals and Audiologists,90,1,45928.87583275463,45928.87583275463
09/2025,2527 Speech Professionals and Audiologists,55,3,45714.937079282405,45581.85175552083
09/2025,2527 Speech Professionals and Audiologists,60,3,45925.83462334491,45397.84880640046
09/2025,2524 Occupational Therapists,65,29,45923.00317743055,45391.80712225694
09/2025,2524 Occupational Therapists,75,64,45922.57431365741,45281.85201084491
09/2025,2524 Occupational Therapists,70,48,45927.9254278125,45407.56770586806
09/2025,2524 Occupational Therapists,80,16,45908.80642916667,45415.64481373843
09/2025,2524 Occupational Therapists,90,3,45908.9115787037,45890.90813804398
09/2025,2524 Occupational Therapists,85,4,45921.5476125,45865.4806434375
09/2025,2524 Occupational Therapists,55,2,45863.489811377316,45722.68469710648
09/2025,2524 Occupational Therapists,60,5,45912.81091273148,45328.343236608795
09/2025,2524 Occupational Therapists,45,1,45718.13789545139,45718.13789545139
09/2025,2519 Other Health Diagnostic and Promotion Professionals,70,1,45808.031383368056,45808.031383368056
09/2025,3421 Airconditioning and Refrigeration Mechanics,65,10,45909.82237395833,45318.8744372338
09/2025,3421 Airconditioning and Refrigeration Mechanics,75,2,45929.78098480324,45418.51740763889
09/2025,3421 Airconditioning and Refrigeration Mechanics,70,5,45893.96412415509,45566.41907600695
09/2025,3421 Airconditioning and Refrigeration Mechanics,80,1,45551.31320859954,45551.31320859954
09/2025,3421 Airconditioning and Refrigeration Mechanics,60,1,45744.705183530095,45744.705183530095
09/2025,3421 Airconditioning and Refrigeration Mechanics,50,1,45691.65677746528,45691.65677746528
09/2025,2346 Medical Laboratory Scientists,65,20,45923.688472685186,45419.95709664352
09/2025,2346 Medical Laboratory Scientists,75,57,45900.8446056713,45278.65534907408
09/2025,2346 Medical Laboratory Scientists,70,44,45903.073721064815,45324.427441817126
09/2025,2346 Medical Laboratory Scientists,80,28,45930.73736802083,45435.80123680556
09/2025,2346 Medical Laboratory Scientists,90,1,45632.606665625004,45632.606665625004
09/2025,2346 Medical Laboratory Scientists,85,14,45924.72150775463,45216.780815543985
09/2025,2346 Medical Laboratory Scientists,55,3,45817.95497824074,45572.79539594907
09/2025,2346 Medical Laboratory Scientists,60,4,45829.81762002315,45344.65138773148
09/2025,2415 Special Education Teachers,65,1,45783.431232256946,45783.431232256946
09/2025,2415 Special Education Teachers,75,4,45821.32351909722,45359.31611693287
09/2025,2415 Special Education Teachers,70,5,45846.89110142361,45561.19418850695
09/2025,2415 Special Education Teachers,80,1,45930.988442939815,45930.988442939815
09/2025,2415 Special Education Teachers,55,1,45719.916216550926,45719.916216550926
09/2025,2723 Psychologists,65,10,45895.378341006945,45485.4659965625
09/2025,2723 Psychologists,75,16,45916.53122989583,45420.924462731484
09/2025,2723 Psychologists,70,11,45842.8235258912,45294.63940486111
09/2025,2723 Psychologists,80,22,45926.465422800924,45278.42569684028
09/2025,2723 Psychologists,95,1,45573.482724305555,45573.482724305555
09/2025,2723 Psychologists,90,1,45901.937874537034,45901.937874537034
09/2025,2723 Psychologists,85,3,45890.97378591435,45855.823561805555
09/2025,2723 Psychologists,60,2,45813.91345853009,45666.22926331019
09/2025,2541 Midwives,65,4,45861.87687734954,45711.70816608796
09/2025,2541 Midwives,75,9,45921.99898240741,45538.453994131945
09/2025,2541 Midwives,70,9,45922.951885532406,45605.439554826386
09/2025,2541 Midwives,80,2,45924.75260625,45883.28906516204
09/2025,2541 Midwives,55,1,45671.925403472225,45671.925403472225
09/2025,2541 Midwives,60,2,45825.65565181713,45784.95696265047
09/2025,3341 Plumbers,65,7,45926.02789892361,45896.91266446759
09/2025,3341 Plumbers,75,1,45910.57530466435,45910.57530466435
09/2025,3341 Plumbers,70,6,45930.68748741898,45892.35514849537
09/2025,3341 Plumbers,80,1,45893.90482384259,45893.90482384259
09/2025,3341 Plumbers,95,1,45899.02118888889,45899.02118888889
09/2025,3341 Plumbers,60,2,45872.70163865741,45588.031499537035
09/2025,3241 Panelbeaters,65,1,45923.76890416667,45923.76890416667
09/2025,3241 Panelbeaters,75,1,45912.66493854167,45912.66493854167
09/2025,3241 Panelbeaters,70,1,45457.627868090276,45457.627868090276
09/2025,3241 Panelbeaters,90,1,45826.759032141206,45826.759032141206
09/2025,3241 Panelbeaters,85,1,45875.867188923614,45875.867188923614
09/2025,3991 Boat Builders and Shipwrights,65,1,45448.433325844904,45448.433325844904
09/2025,3991 Boat Builders and Shipwrights,75,2,45509.49914186342,45436.655043136576
09/2025,3991 Boat Builders and Shipwrights,70,1,45577.477774652776,45577.477774652776
09/2025,3991 Boat Builders and Shipwrights,80,2,45701.44849398148,45585.5445568287
09/2025,3991 Boat Builders and Shipwrights,90,1,45671.69912986111,45671.69912986111
09/2025,2533 Internal Medicine Specialists,65,5,45899.729234756946,45589.49493649306
09/2025,2533 Internal Medicine Specialists,75,2,45842.040817395835,45818.92538584491
09/2025,2533 Internal Medicine Specialists,70,3,45831.57684097222,45603.90381736111
09/2025,2533 Internal Medicine Specialists,80,6,45927.955298761575,45852.89861739583
09/2025,2533 Internal Medicine Specialists,60,1,45777.30400917824,45777.30400917824
09/2025,2533 Internal Medicine Specialists,40,1,45640.513158217596,45640.513158217596
09/2025,3332 Plasterers,65,1,45903.02903237269,45903.02903237269
09/2025,3332 Plasterers,60,4,45643.97768429398,45567.187230787036
09/2025,3611 Animal Attendants and Trainers,65,2,45740.54827453704,45589.508466782405
09/2025,3334 Wall and Floor Tilers,65,6,45925.73350864583,45890.56295949074
09/2025,3334 Wall and Floor Tilers,70,2,45899.61148961805,45891.710277777776
09/2025,3334 Wall and Floor Tilers,55,1,45635.91514027778,45635.91514027778
09/2025,3334 Wall and Floor Tilers,60,2,45891.687940937496,45890.49035381945
09/2025,2112 Music Professionals,65,1,45825.57088353009,45825.57088353009
09/2025,2112 Music Professionals,70,1,45749.92567650463,45749.92567650463
09/2025,3211 Automotive Electricians,65,4,45777.853991516204,45552.70393611111
09/2025,3211 Automotive Electricians,75,6,45901.75231030093,45495.94809290509
09/2025,3211 Automotive Electricians,70,2,45726.605349502315,45715.92346689815
09/2025,3211 Automotive Electricians,80,1,45293.95379027778,45293.95379027778
09/2025,3211 Automotive Electricians,60,2,45756.833266863425,45619.10143248842
09/2025,2534 Psychiatrists,75,2,45772.345140081015,45720.607917974536
09/2025,2534 Psychiatrists,80,1,45755.88628900463,45755.88628900463
09/2025,2534 Psychiatrists,85,1,45767.88348758102,45767.88348758102
09/2025,2514 Optometrists and Orthoptists,75,5,45910.84675350694,45592.76924336806
09/2025,2514 Optometrists and Orthoptists,70,2,45881.6566474537,45875.696639664355
09/2025,2514 Optometrists and Orthoptists,60,1,45706.69994695602,45706.69994695602
09/2025,2535 Surgeons,65,1,45797.48168549768,45797.48168549768
09/2025,2535 Surgeons,75,1,45479.74954672454,45479.74954672454
09/2025,2535 Surgeons,80,1,45914.91133495371,45914.91133495371
09/2025,2535 Surgeons,55,1,45681.480832256944,45681.480832256944
09/2025,2535 Surgeons,50,1,45907.03835821759,45907.03835821759
09/2025,3422 Electrical Distribution Trades Workers,70,1,45849.127949340276,45849.127949340276
09/2025,3422 Electrical Distribution Trades Workers,60,1,45770.21209722222,45770.21209722222
09/2025,2526 Podiatrists,65,3,45923.14776315972,45725.955754780094
09/2025,2526 Podiatrists,75,7,45882.16394957176,45631.56282658565
09/2025,2526 Podiatrists,70,2,45700.59763587963,45567.2283962963
09/2025,"2111 Actors, Dancers and Other Entertainers",75,1,45716.611261921294,45716.611261921294
09/2025,"2111 Actors, Dancers and Other Entertainers",80,2,45862.687728969904,45586.90887172454
08/2025,2613 Software and Applications Programmers,65,1072,45900.91981975694,45169.005945868055
08/2025,2613 Software and Applications Programmers,75,1630,45900.7737815162,45171.6325162037
08/2025,2613 Software and Applications Programmers,70,1385,45900.927631516206,45169.96942202546
08/2025,2613 Software and Applications Programmers,80,1449,45900.85902434028,45169.58563306713
08/2025,2613 Software and Applications Programmers,95,895,45899.8811537037,45169.69815289352
08/2025,2613 Software and Applications Programmers,90,1702,45900.0673590625,45170.02646015046
08/2025,2613 Software and Applications Programmers,85,1710,45899.916216701386,45170.911309641204
08/2025,2613 Software and Applications Programmers,55,80,45899.648129085646,45196.91359849537
08/2025,2613 Software and Applications Programmers,60,196,45895.629111145834,45170.50656631944
08/2025,2613 Software and Applications Programmers,50,21,45899.67552503472,45475.83288954861
08/2025,2613 Software and Applications Programmers,100,255,45895.71388556713,45169.67441284722
08/2025,2613 Software and Applications Programmers,105,37,45850.48761261574,45188.59605883102
08/2025,2613 Software and Applications Programmers,45,4,45889.05836689815,45659.94304880787
08/2025,2613 Software and Applications Programmers,115,1,45603.902996875,45603.902996875
08/2025,3212 Motor Mechanics,65,224,45900.92971762731,45184.037650266204
08/2025,3212 Motor Mechanics,75,153,45897.77522364583,45182.03347214121
08/2025,3212 Motor Mechanics,70,186,45894.6370087963,45174.819795601856
08/2025,3212 Motor Mechanics,80,98,45899.01275454861,45172.604921527774
08/2025,3212 Motor Mechanics,95,8,45854.62735755787,45277.47806778935
08/2025,3212 Motor Mechanics,90,20,45875.61665925926,45169.497577395836
08/2025,3212 Motor Mechanics,85,28,45823.425844756945,45202.5301346412
08/2025,3212 Motor Mechanics,55,11,45847.74214725694,45358.71628799768
08/2025,3212 Motor Mechanics,60,47,45897.90211704861,45190.56534163194
08/2025,3212 Motor Mechanics,50,2,45785.55013371528,45785.52942306713
08/2025,2332 Civil Engineering Professionals,65,621,45899.84530721065,45170.65280836805
08/2025,2332 Civil Engineering Professionals,75,794,45898.76160957176,45169.46941608796
08/2025,2332 Civil Engineering Professionals,70,779,45900.91802681713,45169.030159953705
08/2025,2332 Civil Engineering Professionals,80,663,45900.75973449074,45178.685357442126
08/2025,2332 Civil Engineering Professionals,95,41,45899.60125555556,45172.74712086806
08/2025,2332 Civil Engineering Professionals,90,264,45899.789678472225,45177.452436458334
08/2025,2332 Civil Engineering Professionals,85,547,45900.63659664352,45170.50495081019
08/2025,2332 Civil Engineering Professionals,55,56,45898.55073850694,45215.83075378472
08/2025,2332 Civil Engineering Professionals,60,121,45898.69184771991,45170.975675960646
08/2025,2332 Civil Engineering Professionals,50,22,45882.48145061343,45189.94282758102
08/2025,2332 Civil Engineering Professionals,100,14,45789.939151770835,45567.564123923614
08/2025,2332 Civil Engineering Professionals,105,1,45707.536374386575,45707.536374386575
08/2025,2332 Civil Engineering Professionals,40,2,45693.79192858796,45376.02674707176
08/2025,2332 Civil Engineering Professionals,45,5,45764.87231917824,45529.43834730324
08/2025,2411 Early Childhood (Pre-primary School) Teachers,65,588,45899.415018368054,45194.523250196755
08/2025,2411 Early Childhood (Pre-primary School) Teachers,75,739,45898.76184965278,45202.415077233796
08/2025,2411 Early Childhood (Pre-primary School) Teachers,70,933,45900.62072627315,45184.503680752314
08/2025,2411 Early Childhood (Pre-primary School) Teachers,80,636,45898.92913730324,45208.8564974537
08/2025,2411 Early Childhood (Pre-primary School) Teachers,90,2,45890.58033773148,45890.543405324075
08/2025,2411 Early Childhood (Pre-primary School) Teachers,85,137,45900.0105809375,45330.56576327546
08/2025,2411 Early Childhood (Pre-primary School) Teachers,55,18,45889.82613221065,45265.90280871528
08/2025,2411 Early Childhood (Pre-primary School) Teachers,60,96,45899.937458252316,45296.521043402776
08/2025,2411 Early Childhood (Pre-primary School) Teachers,50,6,45894.59993498842,45652.94579976852
08/2025,2411 Early Childhood (Pre-primary School) Teachers,45,1,45806.47276134259,45806.47276134259
08/2025,2611 ICT Business and Systems Analysts,65,520,45899.74820008102,45169.98166269676
08/2025,2611 ICT Business and Systems Analysts,75,917,45898.90277962963,45170.64952896991
08/2025,2611 ICT Business and Systems Analysts,70,690,45897.506304282404,45169.90342256945
08/2025,2611 ICT Business and Systems Analysts,80,889,45900.73132071759,45173.45391979167
08/2025,2611 ICT Business and Systems Analysts,95,447,45897.665061886575,45173.49491122685
08/2025,2611 ICT Business and Systems Analysts,90,949,45896.9309627662,45172.48782484954
08/2025,2611 ICT Business and Systems Analysts,85,868,45899.69526836806,45173.45091180556
08/2025,2611 ICT Business and Systems Analysts,55,39,45881.80366006945,45174.63425528935
08/2025,2611 ICT Business and Systems Analysts,60,85,45891.80034065972,45175.85708434028
08/2025,2611 ICT Business and Systems Analysts,50,9,45871.07768672454,45246.8529403125
08/2025,2611 ICT Business and Systems Analysts,100,102,45894.73218248843,45173.83040381945
08/2025,2611 ICT Business and Systems Analysts,45,1,45832.89550694444,45832.89550694444
08/2025,2211 Accountants,65,489,45898.64331921296,45169.45753619213
08/2025,2211 Accountants,75,762,45900.913989039356,45169.2760496875
08/2025,2211 Accountants,70,803,45898.751824224535,45174.64813645833
08/2025,2211 Accountants,80,642,45898.977866354166,45169.4953290162
08/2025,2211 Accountants,95,181,45893.56190806713,45174.91733128472
08/2025,2211 Accountants,90,442,45898.451178206014,45169.72134768518
08/2025,2211 Accountants,85,680,45900.64445818287,45171.44889591435
08/2025,2211 Accountants,55,16,45871.70149251157,45169.79798545139
08/2025,2211 Accountants,60,80,45892.524653125,45175.68548240741
08/2025,2211 Accountants,50,3,45637.37428769676,45204.89282743056
08/2025,2211 Accountants,100,49,45890.774358877316,45173.51443136574
08/2025,2211 Accountants,105,2,45831.77537337963,45728.85330153935
08/2025,2211 Accountants,45,5,45856.68368822917,45546.19469340278
08/2025,2211 Accountants,35,1,45614.67377908565,45614.67377908565
08/2025,2344 Geologists Geophysicists and Hydrogeologists,65,8,45764.73253738426,45390.784484641204
08/2025,2344 Geologists Geophysicists and Hydrogeologists,75,9,45879.86107399306,45440.517085300926
08/2025,2344 Geologists Geophysicists and Hydrogeologists,70,6,45873.209435763885,45334.97486195602
08/2025,2344 Geologists Geophysicists and Hydrogeologists,80,3,45551.00119313657,45423.71109927083
08/2025,2344 Geologists Geophysicists and Hydrogeologists,85,4,45856.004303622685,45215.87326142361
08/2025,2344 Geologists Geophysicists and Hydrogeologists,55,1,45749.47464594907,45749.47464594907
08/2025,2344 Geologists Geophysicists and Hydrogeologists,60,2,45865.85900069444,45593.76753140046
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",65,150,45900.96959795139,45169.496978090276
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",75,209,45897.67728480324,45169.93978090278
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",70,151,45897.59068796296,45172.03890876158
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",80,211,45898.5373721412,45169.493262881944
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",95,77,45894.952134756946,45197.59122681713
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",90,208,45895.70462824074,45184.5469121875
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",85,209,45898.48125578704,45170.56782549768
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",55,10,45887.69133576389,45188.77126809028
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",60,27,45894.09735309028,45175.88194100694
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",50,3,45889.62636728009,45632.54673920139
08/2025,"2621 Database and Systems Administrators, and ICT Security Specialists",100,11,45734.53776064815,45216.97896114583
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,258,45898.85515960648,45171.754916631944
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,357,45896.50649383102,45169.05053244213
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,366,45900.90761041667,45182.575424421295
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",80,350,45898.95610949074,45169.51551759259
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",95,41,45893.80907496528,45198.36358298611
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",90,169,45895.504598576386,45173.71746901621
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",85,356,45898.68912638889,45182.759378703704
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",55,6,45663.02846508102,45299.857424849535
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",60,52,45873.54402068287,45173.84815952546
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",100,2,45603.60894780092,45428.77985980324
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",105,1,45603.449114814815,45603.449114814815
08/2025,"2212 Auditors, Company Secretaries and Corporate Treasurers",45,1,45574.86311643518,45574.86311643518
08/2025,2345 Life Scientists,65,73,45896.44582040509,45215.91914059028
08/2025,2345 Life Scientists,75,81,45887.18734895834,45179.80757866898
08/2025,2345 Life Scientists,70,79,45897.954729247685,45206.92182025463
08/2025,2345 Life Scientists,80,54,45899.7264875,45265.56157149305
08/2025,2345 Life Scientists,95,3,45893.91523125,45310.65737233796
08/2025,2345 Life Scientists,90,28,45879.446079594905,45271.434365706016
08/2025,2345 Life Scientists,85,73,45894.87262091435,45177.42758310185
08/2025,2345 Life Scientists,55,11,45882.74197630787,45398.485185219906
08/2025,2345 Life Scientists,60,16,45881.684992476854,45501.80420613426
08/2025,2345 Life Scientists,50,5,45896.73634429398,45606.06451087963
08/2025,2345 Life Scientists,100,1,45873.49294525463,45873.49294525463
08/2025,"2335 Industrial, Mechanical and Production Engineers",65,514,45900.531912384264,45169.76401582176
08/2025,"2335 Industrial, Mechanical and Production Engineers",75,611,45900.86590795139,45171.64506793981
08/2025,"2335 Industrial, Mechanical and Production Engineers",70,536,45898.906021840274,45173.69650474537
08/2025,"2335 Industrial, Mechanical and Production Engineers",80,526,45899.910152627315,45171.52476689815
08/2025,"2335 Industrial, Mechanical and Production Engineers",95,49,45894.66697063657,45169.54864961805
08/2025,"2335 Industrial, Mechanical and Production Engineers",90,288,45899.861524189815,45176.82309641204
08/2025,"2335 Industrial, Mechanical and Production Engineers",85,510,45900.982871527776,45171.352581099534
08/2025,"2335 Industrial, Mechanical and Production Engineers",55,52,45890.66664108796,45245.671637928244
08/2025,"2335 Industrial, Mechanical and Production Engineers",60,129,45898.4927181713,45175.56441265046
08/2025,"2335 Industrial, Mechanical and Production Engineers",50,16,45884.84868460648,45191.713328240745
08/2025,"2335 Industrial, Mechanical and Production Engineers",100,12,45799.50169498843,45315.50955790509
08/2025,"2335 Industrial, Mechanical and Production Engineers",40,5,45777.39887048611,45560.7808008912
08/2025,"2335 Industrial, Mechanical and Production Engineers",45,4,45877.641150578704,45604.99864814815
08/2025,2339 Other Engineering Professionals,65,458,45899.832544178236,45175.60601585648
08/2025,2339 Other Engineering Professionals,75,521,45898.71878113426,45175.55538371528
08/2025,2339 Other Engineering Professionals,70,525,45898.918565127315,45171.9004653588
08/2025,2339 Other Engineering Professionals,80,533,45899.87424722222,45169.711919988426
08/2025,2339 Other Engineering Professionals,95,51,45892.774000150464,45175.725424421296
08/2025,2339 Other Engineering Professionals,90,258,45899.51157083333,45179.78975991898
08/2025,2339 Other Engineering Professionals,85,509,45898.73501712963,45172.751303391204
08/2025,2339 Other Engineering Professionals,55,56,45887.783155474535,45245.7108037037
08/2025,2339 Other Engineering Professionals,60,95,45896.58505165509,45195.798138541664
08/2025,2339 Other Engineering Professionals,50,18,45862.45658252315,45523.53101107639
08/2025,2339 Other Engineering Professionals,100,13,45890.68954042824,45618.70385709491
08/2025,2339 Other Engineering Professionals,105,2,45649.598266319445,45606.52658113426
08/2025,2339 Other Engineering Professionals,40,2,45842.65565107639,45774.72333059028
08/2025,2339 Other Engineering Professionals,45,3,45874.6972596412,45546.71359811343
08/2025,2341 Agricultural and Forestry Scientists,65,79,45879.758116666664,45171.47240254629
08/2025,2341 Agricultural and Forestry Scientists,75,68,45895.66014112269,45176.10271878472
08/2025,2341 Agricultural and Forestry Scientists,70,62,45895.6542653588,45174.90809745371
08/2025,2341 Agricultural and Forestry Scientists,80,55,45889.69714042824,45221.972903472226
08/2025,2341 Agricultural and Forestry Scientists,95,1,45893.654728738424,45893.654728738424
08/2025,2341 Agricultural and Forestry Scientists,90,10,45891.7281790162,45485.80695142361
08/2025,2341 Agricultural and Forestry Scientists,85,33,45896.51387751158,45260.71701790509
08/2025,2341 Agricultural and Forestry Scientists,55,12,45877.113661724536,45307.89728579861
08/2025,2341 Agricultural and Forestry Scientists,60,17,45877.70381612268,45273.47899042824
08/2025,2341 Agricultural and Forestry Scientists,50,1,45865.16677137731,45865.16677137731
08/2025,2341 Agricultural and Forestry Scientists,45,1,45789.085624768515,45789.085624768515
08/2025,2544 Registered Nurses,65,1236,45899.55790998843,45226.84000297454
08/2025,2544 Registered Nurses,75,1136,45899.9656488426,45194.497411840275
08/2025,2544 Registered Nurses,70,1357,45899.80345046296,45170.03879684028
08/2025,2544 Registered Nurses,80,180,45900.06750679398,45264.47664328704
08/2025,2544 Registered Nurses,90,2,45898.963180011575,45896.897578125
08/2025,2544 Registered Nurses,85,15,45900.80412665509,45338.7088465625
08/2025,2544 Registered Nurses,55,64,45883.6585122338,45265.91999282407
08/2025,2544 Registered Nurses,60,156,45892.910973460646,45268.80191469907
08/2025,2544 Registered Nurses,50,10,45899.61169814815,45610.40633769676
08/2025,2544 Registered Nurses,40,1,45591.50560065972,45591.50560065972
08/2025,2544 Registered Nurses,45,2,45680.5811224537,45624.05595378472
08/2025,2544 Registered Nurses,35,1,45778.93603935185,45778.93603935185
08/2025,3513 Chefs,65,650,45898.71628429398,45175.83074467593
08/2025,3513 Chefs,75,502,45896.61646994213,45173.63837804398
08/2025,3513 Chefs,70,677,45899.82095408565,45169.8416034375
08/2025,3513 Chefs,80,292,45897.59371940972,45170.43905582176
08/2025,3513 Chefs,95,17,45888.761508449075,45180.02047280093
08/2025,3513 Chefs,90,72,45890.54388387731,45180.778822569446
08/2025,3513 Chefs,85,152,45890.50226898148,45174.94762063657
08/2025,3513 Chefs,55,39,45898.52338287037,45215.63199070602
08/2025,3513 Chefs,60,110,45896.563328125,45183.669792326386
08/2025,3513 Chefs,50,16,45849.54294869213,45457.56934837963
08/2025,3513 Chefs,100,1,45842.89256165509,45842.89256165509
08/2025,3513 Chefs,105,3,45706.760803240744,45540.96098070602
08/2025,3513 Chefs,45,5,45849.730064664356,45612.68358232639
