Occupation,Score,n
253399 Specialist Physicians nec,85,2
253399 Specialist Physicians nec,55,1
253399 Specialist Physicians nec,60,1
251214 Sonographer,65,4
251214 Sonographer,75,4
251214 Sonographer,70,3
251214 Sonographer,80,1
251214 Sonographer,90,1
334112 Airconditioning and Mechanical Services Plumber,65,11
334112 Airconditioning and Mechanical Services Plumber,75,1
334112 Airconditioning and Mechanical Services Plumber,70,2
334112 Airconditioning and Mechanical Services Plumber,95,1
334112 Airconditioning and Mechanical Services Plumber,55,2
334112 Airconditioning and Mechanical Services Plumber,60,2
334112 Airconditioning and Mechanical Services Plumber,45,1
253511 Surgeon (General),65,2
253511 Surgeon (General),75,2
253511 Surgeon (General),70,1
253511 Surgeon (General),95,1
253511 Surgeon (General),50,1
253318 Neurologist,65,1
253318 Neurologist,75,2
253318 Neurologist,70,1
253318 Neurologist,80,1
253318 Neurologist,55,1
253318 Neurologist,50,1
334115 Roof Plumber,65,3
334115 Roof Plumber,70,3
334115 Roof Plumber,80,1
334115 Roof Plumber,55,1
334115 Roof Plumber,60,2
272311 Clinical Psychologist,65,4
272311 Clinical Psychologist,75,5
272311 Clinical Psychologist,70,4
272311 Clinical Psychologist,95,1
272311 Clinical Psychologist,90,1
272311 Clinical Psychologist,85,1
272311 Clinical Psychologist,60,1
254411 Nurse Practitioner,65,2
254411 Nurse Practitioner,75,2
254411 Nurse Practitioner,70,9
254411 Nurse Practitioner,80,1
254411 Nurse Practitioner,50,1
342212 Technical Cable Jointer,70,1
342212 Technical Cable Jointer,60,1
251212 Medical Radiation Therapist,65,2
251212 Medical Radiation Therapist,75,13
251212 Medical Radiation Therapist,70,2
251212 Medical Radiation Therapist,80,2
251212 Medical Radiation Therapist,55,1
341113 Lift Mechanic,65,6
341113 Lift Mechanic,75,1
341113 Lift Mechanic,70,1
341113 Lift Mechanic,80,1
341113 Lift Mechanic,55,2
341113 Lift Mechanic,60,1
252611 Podiatrist,65,6
252611 Podiatrist,75,16
252611 Podiatrist,70,8
252611 Podiatrist,80,5
252611 Podiatrist,55,1
252611 Podiatrist,60,4
241599 Special Education Teachers nec,65,4
241599 Special Education Teachers nec,75,5
241599 Special Education Teachers nec,70,3
241599 Special Education Teachers nec,80,1
241599 Special Education Teachers nec,55,1
241599 Special Education Teachers nec,60,7
253311 Specialist Physician (General Medicine),65,5
253311 Specialist Physician (General Medicine),75,3
253311 Specialist Physician (General Medicine),70,4
253311 Specialist Physician (General Medicine),80,2
253311 Specialist Physician (General Medicine),95,1
253311 Specialist Physician (General Medicine),90,1
253311 Specialist Physician (General Medicine),85,2
253311 Specialist Physician (General Medicine),55,1
253311 Specialist Physician (General Medicine),60,1
211112 Dancer or Choreographer,65,3
211112 Dancer or Choreographer,75,4
211112 Dancer or Choreographer,70,1
211112 Dancer or Choreographer,80,3
211112 Dancer or Choreographer,85,1
134214 Welfare Centre Manager,65,2
134214 Welfare Centre Manager,75,2
134214 Welfare Centre Manager,70,2
134214 Welfare Centre Manager,80,2
134214 Welfare Centre Manager,60,1
134214 Welfare Centre Manager,50,1
361112 Horse Trainer,65,2
361112 Horse Trainer,80,1
272312 Educational Psychologist,65,2
272312 Educational Psychologist,75,3
272312 Educational Psychologist,70,1
272312 Educational Psychologist,85,1
253913 Obstetrician and Gynaecologist,65,4
253913 Obstetrician and Gynaecologist,75,4
253913 Obstetrician and Gynaecologist,70,5
253913 Obstetrician and Gynaecologist,90,1
253913 Obstetrician and Gynaecologist,60,1
253913 Obstetrician and Gynaecologist,50,2
241512 Teacher of the Hearing Impaired,70,1
253512 Cardiothoracic Surgeon,65,2
253324 Thoracic Medicine Specialist,65,1
134212 Nursing Clinical Director,75,1
333211 Fibrous Plasterer,65,2
333211 Fibrous Plasterer,75,2
333211 Fibrous Plasterer,70,3
333211 Fibrous Plasterer,80,1
333211 Fibrous Plasterer,55,1
333211 Fibrous Plasterer,60,3
333211 Fibrous Plasterer,45,2
334113 Drainer,65,4
334113 Drainer,75,2
334113 Drainer,60,1
334114 Gasfitter,65,1
334114 Gasfitter,70,2
334114 Gasfitter,45,1
253514 Orthopaedic Surgeon,65,1
253514 Orthopaedic Surgeon,75,1
253514 Orthopaedic Surgeon,70,1
253514 Orthopaedic Surgeon,80,1
253514 Orthopaedic Surgeon,85,1
253514 Orthopaedic Surgeon,55,1
253514 Orthopaedic Surgeon,60,1
254416 Registered Nurse (Developmental Disability),65,1
254416 Registered Nurse (Developmental Disability),75,2
254416 Registered Nurse (Developmental Disability),70,8
254416 Registered Nurse (Developmental Disability),60,1
254416 Registered Nurse (Developmental Disability),50,1
253517 Plastic and Reconstructive Surgeon,65,1
253517 Plastic and Reconstructive Surgeon,80,1
253517 Plastic and Reconstructive Surgeon,55,1
253316 Gastroenterologist,65,1
253316 Gastroenterologist,75,1
253316 Gastroenterologist,85,1
253316 Gastroenterologist,60,1
253316 Gastroenterologist,40,1
321213 Motorcycle Mechanic,65,2
321213 Motorcycle Mechanic,70,1
321213 Motorcycle Mechanic,85,1
331112 Stonemason,65,4
331112 Stonemason,60,2
253313 Clinical Haematologist,60,1
253315 Endocrinologist,65,1
253315 Endocrinologist,80,1
253915 Pathologist,70,3
251213 Nuclear Medicine Technologist,70,1
251213 Nuclear Medicine Technologist,60,1
253518 Urologist,65,1
253518 Urologist,75,1
253518 Urologist,100,1
253914 Ophthalmologist,65,1
253914 Ophthalmologist,80,1
253914 Ophthalmologist,85,1
253513 Neurosurgeon,85,1
452411 Footballer,70,1
452411 Footballer,80,1
452411 Footballer,55,1
253911 Dermatologist,85,1
253911 Dermatologist,50,1
253322 Renal Medicine Specialist,70,1
253322 Renal Medicine Specialist,55,1
253322 Renal Medicine Specialist,50,1
253314 Medical Oncologist,70,2
241513 Teacher of the Sight Impaired,75,1
