OccGroup,Score,Eng,n
3132 Telecommunications Technical Specialists,65,0,49
3132 Telecommunications Technical Specialists,65,20,10
3132 Telecommunications Technical Specialists,65,10,110
3132 Telecommunications Technical Specialists,75,0,7
3132 Telecommunications Technical Specialists,75,20,43
3132 Telecommunications Technical Specialists,75,10,87
3132 Telecommunications Technical Specialists,70,0,26
3132 Telecommunications Technical Specialists,70,20,18
3132 Telecommunications Technical Specialists,70,10,118
3132 Telecommunications Technical Specialists,80,20,51
3132 Telecommunications Technical Specialists,80,10,32
3132 Telecommunications Technical Specialists,90,20,32
3132 Telecommunications Technical Specialists,85,20,46
3132 Telecommunications Technical Specialists,85,10,1
3132 Telecommunications Technical Specialists,55,0,38
3132 Telecommunications Technical Specialists,55,10,17
3132 Telecommunications Technical Specialists,60,0,56
3132 Telecommunications Technical Specialists,60,20,1
3132 Telecommunications Technical Specialists,60,10,38
3132 Telecommunications Technical Specialists,50,0,31
3132 Telecommunications Technical Specialists,50,10,2
3132 Telecommunications Technical Specialists,40,0,4
3132 Telecommunications Technical Specialists,45,0,8
3132 Telecommunications Technical Specialists,35,0,1
3312 Carpenters and Joiners,65,0,303
3312 Carpenters and Joiners,65,20,13
3312 Carpenters and Joiners,65,10,202
3312 Carpenters and Joiners,75,20,13
3312 Carpenters and Joiners,75,10,70
3312 Carpenters and Joiners,70,0,43
3312 Carpenters and Joiners,70,20,24
3312 Carpenters and Joiners,70,10,155
3312 Carpenters and Joiners,80,20,12
3312 Carpenters and Joiners,80,10,14
3312 Carpenters and Joiners,90,20,4
3312 Carpenters and Joiners,85,20,5
3312 Carpenters and Joiners,85,10,1
3312 Carpenters and Joiners,55,0,113
3312 Carpenters and Joiners,55,10,8
3312 Carpenters and Joiners,60,0,215
3312 Carpenters and Joiners,60,20,2
3312 Carpenters and Joiners,60,10,25
3312 Carpenters and Joiners,50,0,27
3312 Carpenters and Joiners,50,10,3
3312 Carpenters and Joiners,100,20,1
3312 Carpenters and Joiners,40,0,3
3312 Carpenters and Joiners,45,0,11
3312 Carpenters and Joiners,30,0,1
2725 Social Workers,65,0,26
2725 Social Workers,65,20,23
2725 Social Workers,65,10,202
2725 Social Workers,75,0,1
2725 Social Workers,75,20,108
2725 Social Workers,75,10,307
2725 Social Workers,70,0,7
2725 Social Workers,70,20,73
2725 Social Workers,70,10,358
2725 Social Workers,80,20,103
2725 Social Workers,80,10,55
2725 Social Workers,90,20,7
2725 Social Workers,85,20,54
2725 Social Workers,85,10,2
2725 Social Workers,55,0,15
2725 Social Workers,55,20,1
2725 Social Workers,55,10,11
2725 Social Workers,60,0,9
2725 Social Workers,60,10,37
2725 Social Workers,50,0,3
2725 Social Workers,50,10,4
2725 Social Workers,40,10,1
2725 Social Workers,45,10,3
3322 Painting Trades Workers,65,0,283
3322 Painting Trades Workers,65,20,2
3322 Painting Trades Workers,65,10,140
3322 Painting Trades Workers,75,0,19
3322 Painting Trades Workers,75,20,14
3322 Painting Trades Workers,75,10,153
3322 Painting Trades Workers,70,0,128
3322 Painting Trades Workers,70,20,10
3322 Painting Trades Workers,70,10,205
3322 Painting Trades Workers,80,0,1
3322 Painting Trades Workers,80,20,52
3322 Painting Trades Workers,80,10,37
3322 Painting Trades Workers,90,20,5
3322 Painting Trades Workers,85,20,11
3322 Painting Trades Workers,85,10,11
3322 Painting Trades Workers,55,0,65
3322 Painting Trades Workers,55,10,6
3322 Painting Trades Workers,60,0,155
3322 Painting Trades Workers,60,10,18
3322 Painting Trades Workers,50,0,22
3322 Painting Trades Workers,50,10,3
3322 Painting Trades Workers,40,0,5
3322 Painting Trades Workers,45,0,6
3322 Painting Trades Workers,35,0,1
3423 Electronics Trades Workers,65,0,51
3423 Electronics Trades Workers,65,20,3
3423 Electronics Trades Workers,65,10,56
3423 Electronics Trades Workers,75,0,2
3423 Electronics Trades Workers,75,20,14
3423 Electronics Trades Workers,75,10,47
3423 Electronics Trades Workers,70,0,12
3423 Electronics Trades Workers,70,20,4
3423 Electronics Trades Workers,70,10,69
3423 Electronics Trades Workers,80,20,8
3423 Electronics Trades Workers,80,10,12
3423 Electronics Trades Workers,90,10,1
3423 Electronics Trades Workers,85,20,2
3423 Electronics Trades Workers,85,10,2
3423 Electronics Trades Workers,55,0,28
3423 Electronics Trades Workers,55,10,19
3423 Electronics Trades Workers,60,0,16
3423 Electronics Trades Workers,60,20,4
3423 Electronics Trades Workers,60,10,22
3423 Electronics Trades Workers,50,0,5
3423 Electronics Trades Workers,50,10,1
3423 Electronics Trades Workers,45,0,5
2521 Chiropractors and Osteopaths,65,0,3
2521 Chiropractors and Osteopaths,65,10,8
2521 Chiropractors and Osteopaths,75,0,1
2521 Chiropractors and Osteopaths,75,20,66
2521 Chiropractors and Osteopaths,75,10,13
2521 Chiropractors and Osteopaths,70,0,1
2521 Chiropractors and Osteopaths,70,20,1
2521 Chiropractors and Osteopaths,70,10,21
2521 Chiropractors and Osteopaths,80,20,10
2521 Chiropractors and Osteopaths,80,10,4
2521 Chiropractors and Osteopaths,85,20,5
2521 Chiropractors and Osteopaths,55,0,1
2521 Chiropractors and Osteopaths,60,0,4
2521 Chiropractors and Osteopaths,60,10,1
2521 Chiropractors and Osteopaths,50,0,2
3941 Cabinetmakers,65,0,22
3941 Cabinetmakers,65,20,4
3941 Cabinetmakers,65,10,18
3941 Cabinetmakers,75,0,1
3941 Cabinetmakers,75,20,7
3941 Cabinetmakers,75,10,15
3941 Cabinetmakers,70,0,12
3941 Cabinetmakers,70,20,4
3941 Cabinetmakers,70,10,30
3941 Cabinetmakers,80,20,2
3941 Cabinetmakers,80,10,5
3941 Cabinetmakers,85,20,3
3941 Cabinetmakers,85,10,2
3941 Cabinetmakers,55,0,4
3941 Cabinetmakers,55,10,1
3941 Cabinetmakers,60,0,8
3941 Cabinetmakers,60,20,1
3941 Cabinetmakers,60,10,4
3941 Cabinetmakers,50,0,7
3941 Cabinetmakers,50,10,1
3941 Cabinetmakers,45,0,2
2243 Economists,65,0,11
2243 Economists,65,10,29
2243 Economists,75,0,1
2243 Economists,75,20,13
2243 Economists,75,10,17
2243 Economists,70,0,2
2243 Economists,70,20,5
2243 Economists,70,10,25
2243 Economists,80,20,28
2243 Economists,80,10,12
2243 Economists,90,20,8
2243 Economists,90,10,1
2243 Economists,85,20,13
2243 Economists,85,10,5
2243 Economists,55,0,6
2243 Economists,60,0,11
2243 Economists,60,10,2
2243 Economists,100,20,1
2243 Economists,105,20,1
2243 Economists,45,0,1
3311 Bricklayers and Stonemasons,65,0,43
3311 Bricklayers and Stonemasons,65,20,3
3311 Bricklayers and Stonemasons,65,10,30
3311 Bricklayers and Stonemasons,75,0,1
3311 Bricklayers and Stonemasons,75,20,3
3311 Bricklayers and Stonemasons,75,10,14
3311 Bricklayers and Stonemasons,70,0,4
3311 Bricklayers and Stonemasons,70,20,6
3311 Bricklayers and Stonemasons,70,10,21
3311 Bricklayers and Stonemasons,80,20,1
3311 Bricklayers and Stonemasons,80,10,2
3311 Bricklayers and Stonemasons,85,20,1
3311 Bricklayers and Stonemasons,55,0,24
3311 Bricklayers and Stonemasons,55,10,1
3311 Bricklayers and Stonemasons,60,0,37
3311 Bricklayers and Stonemasons,50,0,15
3311 Bricklayers and Stonemasons,50,10,1
3311 Bricklayers and Stonemasons,40,0,1
3311 Bricklayers and Stonemasons,45,0,3
1342 Health and Welfare Services Managers,65,0,4
1342 Health and Welfare Services Managers,65,20,1
1342 Health and Welfare Services Managers,65,10,21
1342 Health and Welfare Services Managers,75,20,3
1342 Health and Welfare Services Managers,75,10,7
1342 Health and Welfare Services Managers,70,0,1
1342 Health and Welfare Services Managers,70,20,6
1342 Health and Welfare Services Managers,70,10,12
1342 Health and Welfare Services Managers,80,20,6
1342 Health and Welfare Services Managers,80,10,3
1342 Health and Welfare Services Managers,55,0,1
1342 Health and Welfare Services Managers,55,10,5
1342 Health and Welfare Services Managers,60,0,3
1342 Health and Welfare Services Managers,60,20,2
1342 Health and Welfare Services Managers,60,10,9
1342 Health and Welfare Services Managers,50,0,7
1342 Health and Welfare Services Managers,50,10,1
2539 Other Medical Practitioners,65,0,43
2539 Other Medical Practitioners,65,20,5
2539 Other Medical Practitioners,65,10,52
2539 Other Medical Practitioners,75,0,3
2539 Other Medical Practitioners,75,20,57
2539 Other Medical Practitioners,75,10,119
2539 Other Medical Practitioners,70,0,16
2539 Other Medical Practitioners,70,20,19
2539 Other Medical Practitioners,70,10,106
2539 Other Medical Practitioners,80,20,86
2539 Other Medical Practitioners,80,10,22
2539 Other Medical Practitioners,90,20,23
2539 Other Medical Practitioners,85,20,57
2539 Other Medical Practitioners,85,10,5
2539 Other Medical Practitioners,55,0,8
2539 Other Medical Practitioners,55,10,3
2539 Other Medical Practitioners,60,0,14
2539 Other Medical Practitioners,60,20,1
2539 Other Medical Practitioners,60,10,11
2539 Other Medical Practitioners,50,0,6
3411 Electricians,65,0,39
3411 Electricians,65,20,5
3411 Electricians,65,10,61
3411 Electricians,75,0,3
3411 Electricians,75,20,9
3411 Electricians,75,10,4
3411 Electricians,70,0,11
3411 Electricians,70,20,4
3411 Electricians,70,10,23
3411 Electricians,80,0,2
3411 Electricians,80,20,1
3411 Electricians,80,10,3
3411 Electricians,85,20,1
3411 Electricians,55,0,29
3411 Electricians,55,20,1
3411 Electricians,55,10,7
3411 Electricians,60,0,39
3411 Electricians,60,10,25
3411 Electricians,50,0,39
3411 Electricians,50,10,2
3411 Electricians,40,10,1
3411 Electricians,45,0,5
3411 Electricians,45,10,2
3411 Electricians,35,0,2
3411 Electricians,20,0,1
2525 Physiotherapists,65,0,32
2525 Physiotherapists,65,20,9
2525 Physiotherapists,65,10,72
2525 Physiotherapists,75,0,1
2525 Physiotherapists,75,20,52
2525 Physiotherapists,75,10,130
2525 Physiotherapists,70,0,11
2525 Physiotherapists,70,20,20
2525 Physiotherapists,70,10,137
2525 Physiotherapists,80,0,2
2525 Physiotherapists,80,20,52
2525 Physiotherapists,80,10,23
2525 Physiotherapists,95,20,2
2525 Physiotherapists,90,20,6
2525 Physiotherapists,85,20,30
2525 Physiotherapists,85,10,3
2525 Physiotherapists,55,0,19
2525 Physiotherapists,55,10,7
2525 Physiotherapists,60,0,11
2525 Physiotherapists,60,20,1
2525 Physiotherapists,60,10,9
2525 Physiotherapists,50,0,5
2525 Physiotherapists,50,10,2
2525 Physiotherapists,40,0,2
2525 Physiotherapists,45,0,2
2512 Medical Imaging Professionals,65,0,4
2512 Medical Imaging Professionals,65,20,2
2512 Medical Imaging Professionals,65,10,28
2512 Medical Imaging Professionals,75,20,12
2512 Medical Imaging Professionals,75,10,67
2512 Medical Imaging Professionals,70,0,3
2512 Medical Imaging Professionals,70,20,5
2512 Medical Imaging Professionals,70,10,49
2512 Medical Imaging Professionals,80,20,7
2512 Medical Imaging Professionals,80,10,8
2512 Medical Imaging Professionals,90,20,2
2512 Medical Imaging Professionals,85,0,1
2512 Medical Imaging Professionals,85,20,2
2512 Medical Imaging Professionals,85,10,1
2512 Medical Imaging Professionals,55,0,2
2512 Medical Imaging Professionals,55,10,3
2512 Medical Imaging Professionals,60,0,2
2512 Medical Imaging Professionals,60,10,3
"4523 Sports Coaches, Instructors and Officials",65,0,1
"4523 Sports Coaches, Instructors and Officials",65,10,2
"4523 Sports Coaches, Instructors and Officials",75,0,2
"4523 Sports Coaches, Instructors and Officials",75,20,1
"4523 Sports Coaches, Instructors and Officials",75,10,2
"4523 Sports Coaches, Instructors and Officials",70,0,2
"4523 Sports Coaches, Instructors and Officials",70,20,1
"4523 Sports Coaches, Instructors and Officials",80,20,1
"4523 Sports Coaches, Instructors and Officials",80,10,1
"4523 Sports Coaches, Instructors and Officials",85,20,2
"4523 Sports Coaches, Instructors and Officials",55,0,1
"4523 Sports Coaches, Instructors and Officials",60,0,2
3222 Sheetmetal Trades Workers,65,0,1
3222 Sheetmetal Trades Workers,65,20,1
3222 Sheetmetal Trades Workers,65,10,2
3222 Sheetmetal Trades Workers,75,0,1
3222 Sheetmetal Trades Workers,75,10,2
3222 Sheetmetal Trades Workers,70,0,2
3222 Sheetmetal Trades Workers,80,10,2
3222 Sheetmetal Trades Workers,85,10,1
3222 Sheetmetal Trades Workers,60,0,1
2527 Speech Professionals and Audiologists,65,0,24
2527 Speech Professionals and Audiologists,65,20,1
2527 Speech Professionals and Audiologists,65,10,36
2527 Speech Professionals and Audiologists,75,20,19
2527 Speech Professionals and Audiologists,75,10,50
2527 Speech Professionals and Audiologists,70,0,5
2527 Speech Professionals and Audiologists,70,20,4
2527 Speech Professionals and Audiologists,70,10,56
2527 Speech Professionals and Audiologists,80,20,20
2527 Speech Professionals and Audiologists,80,10,11
2527 Speech Professionals and Audiologists,90,20,2
2527 Speech Professionals and Audiologists,85,20,16
2527 Speech Professionals and Audiologists,55,0,7
2527 Speech Professionals and Audiologists,55,10,4
2527 Speech Professionals and Audiologists,60,0,15
2527 Speech Professionals and Audiologists,60,10,3
2527 Speech Professionals and Audiologists,50,0,3
2527 Speech Professionals and Audiologists,50,10,1
2527 Speech Professionals and Audiologists,100,20,1
2527 Speech Professionals and Audiologists,45,0,1
2524 Occupational Therapists,65,0,13
2524 Occupational Therapists,65,20,6
2524 Occupational Therapists,65,10,63
2524 Occupational Therapists,75,0,2
2524 Occupational Therapists,75,20,33
2524 Occupational Therapists,75,10,139
2524 Occupational Therapists,70,0,12
2524 Occupational Therapists,70,20,14
2524 Occupational Therapists,70,10,127
2524 Occupational Therapists,80,0,1
2524 Occupational Therapists,80,20,20
2524 Occupational Therapists,80,10,24
2524 Occupational Therapists,95,20,1
2524 Occupational Therapists,90,20,2
2524 Occupational Therapists,85,20,15
2524 Occupational Therapists,55,0,3
2524 Occupational Therapists,55,20,2
2524 Occupational Therapists,55,10,8
2524 Occupational Therapists,60,0,10
2524 Occupational Therapists,60,10,10
2524 Occupational Therapists,50,0,4
2524 Occupational Therapists,50,10,1
2524 Occupational Therapists,40,10,1
2524 Occupational Therapists,45,0,2
2524 Occupational Therapists,115,20,3
2519 Other Health Diagnostic and Promotion Professionals,65,0,3
2519 Other Health Diagnostic and Promotion Professionals,75,10,5
2519 Other Health Diagnostic and Promotion Professionals,70,20,1
2519 Other Health Diagnostic and Promotion Professionals,70,10,3
2519 Other Health Diagnostic and Promotion Professionals,80,20,1
2519 Other Health Diagnostic and Promotion Professionals,55,0,1
3421 Airconditioning and Refrigeration Mechanics,65,0,7
3421 Airconditioning and Refrigeration Mechanics,65,20,1
3421 Airconditioning and Refrigeration Mechanics,65,10,10
3421 Airconditioning and Refrigeration Mechanics,75,20,1
3421 Airconditioning and Refrigeration Mechanics,75,10,4
3421 Airconditioning and Refrigeration Mechanics,70,0,2
3421 Airconditioning and Refrigeration Mechanics,70,20,2
3421 Airconditioning and Refrigeration Mechanics,70,10,7
3421 Airconditioning and Refrigeration Mechanics,80,20,1
3421 Airconditioning and Refrigeration Mechanics,55,0,5
3421 Airconditioning and Refrigeration Mechanics,55,10,1
3421 Airconditioning and Refrigeration Mechanics,60,0,6
3421 Airconditioning and Refrigeration Mechanics,50,0,3
3421 Airconditioning and Refrigeration Mechanics,45,0,1
3421 Airconditioning and Refrigeration Mechanics,35,0,1
2346 Medical Laboratory Scientists,65,0,18
2346 Medical Laboratory Scientists,65,20,1
2346 Medical Laboratory Scientists,65,10,80
2346 Medical Laboratory Scientists,75,20,24
2346 Medical Laboratory Scientists,75,10,175
2346 Medical Laboratory Scientists,70,0,1
2346 Medical Laboratory Scientists,70,20,3
2346 Medical Laboratory Scientists,70,10,136
2346 Medical Laboratory Scientists,80,20,44
2346 Medical Laboratory Scientists,80,10,49
2346 Medical Laboratory Scientists,95,20,1
2346 Medical Laboratory Scientists,90,20,10
2346 Medical Laboratory Scientists,90,10,1
2346 Medical Laboratory Scientists,85,20,14
2346 Medical Laboratory Scientists,85,10,17
2346 Medical Laboratory Scientists,55,0,3
2346 Medical Laboratory Scientists,55,10,4
2346 Medical Laboratory Scientists,60,0,5
2346 Medical Laboratory Scientists,60,20,1
2346 Medical Laboratory Scientists,60,10,14
2346 Medical Laboratory Scientists,50,10,1
2346 Medical Laboratory Scientists,100,20,1
2346 Medical Laboratory Scientists,45,0,1
2346 Medical Laboratory Scientists,45,10,2
2415 Special Education Teachers,65,0,4
2415 Special Education Teachers,65,20,1
2415 Special Education Teachers,65,10,24
2415 Special Education Teachers,75,0,2
2415 Special Education Teachers,75,20,9
2415 Special Education Teachers,75,10,12
2415 Special Education Teachers,70,0,4
2415 Special Education Teachers,70,20,2
2415 Special Education Teachers,70,10,14
2415 Special Education Teachers,80,20,7
2415 Special Education Teachers,55,0,1
2415 Special Education Teachers,55,10,2
2415 Special Education Teachers,60,0,1
2415 Special Education Teachers,60,10,8
2415 Special Education Teachers,30,0,1
2723 Psychologists,65,0,6
2723 Psychologists,65,20,3
2723 Psychologists,65,10,34
2723 Psychologists,75,0,2
2723 Psychologists,75,20,19
2723 Psychologists,75,10,26
2723 Psychologists,70,0,4
2723 Psychologists,70,20,13
2723 Psychologists,70,10,35
2723 Psychologists,80,20,17
2723 Psychologists,80,10,5
2723 Psychologists,95,20,1
2723 Psychologists,90,20,3
2723 Psychologists,85,20,10
2723 Psychologists,85,10,2
2723 Psychologists,55,0,4
2723 Psychologists,55,10,2
2723 Psychologists,60,0,5
2723 Psychologists,60,10,9
2723 Psychologists,50,0,2
2723 Psychologists,50,10,4
2723 Psychologists,105,10,1
2541 Midwives,65,0,6
2541 Midwives,65,20,8
2541 Midwives,65,10,9
2541 Midwives,75,0,2
2541 Midwives,75,20,15
2541 Midwives,75,10,12
2541 Midwives,70,0,4
2541 Midwives,70,20,7
2541 Midwives,70,10,21
2541 Midwives,80,20,8
2541 Midwives,80,10,5
2541 Midwives,90,20,1
2541 Midwives,85,20,1
2541 Midwives,60,0,4
2541 Midwives,60,10,3
2541 Midwives,50,10,1
2541 Midwives,40,0,1
2541 Midwives,45,0,1
3341 Plumbers,65,0,12
3341 Plumbers,65,20,2
3341 Plumbers,65,10,17
3341 Plumbers,75,20,2
3341 Plumbers,75,10,3
3341 Plumbers,70,20,3
3341 Plumbers,70,10,8
3341 Plumbers,80,0,1
3341 Plumbers,80,10,5
3341 Plumbers,95,20,1
3341 Plumbers,85,10,1
3341 Plumbers,55,0,6
3341 Plumbers,55,10,3
3341 Plumbers,60,0,11
3341 Plumbers,60,10,7
3341 Plumbers,50,0,3
3341 Plumbers,40,0,2
3341 Plumbers,45,0,5
3241 Panelbeaters,65,0,3
3241 Panelbeaters,65,10,6
3241 Panelbeaters,70,0,1
3241 Panelbeaters,70,10,2
3241 Panelbeaters,80,10,1
3241 Panelbeaters,85,20,1
3241 Panelbeaters,55,0,2
3241 Panelbeaters,60,0,1
3241 Panelbeaters,45,0,1
3991 Boat Builders and Shipwrights,65,0,8
3991 Boat Builders and Shipwrights,75,0,2
3991 Boat Builders and Shipwrights,75,10,4
3991 Boat Builders and Shipwrights,70,0,4
3991 Boat Builders and Shipwrights,70,10,2
3991 Boat Builders and Shipwrights,80,10,1
3991 Boat Builders and Shipwrights,55,0,1
3991 Boat Builders and Shipwrights,60,0,1
3991 Boat Builders and Shipwrights,60,10,1
2533 Internal Medicine Specialists,65,0,8
2533 Internal Medicine Specialists,65,10,10
2533 Internal Medicine Specialists,75,0,1
2533 Internal Medicine Specialists,75,20,2
2533 Internal Medicine Specialists,75,10,7
2533 Internal Medicine Specialists,70,0,3
2533 Internal Medicine Specialists,70,20,2
2533 Internal Medicine Specialists,70,10,9
2533 Internal Medicine Specialists,80,20,4
2533 Internal Medicine Specialists,80,10,3
2533 Internal Medicine Specialists,95,20,2
2533 Internal Medicine Specialists,90,20,1
2533 Internal Medicine Specialists,85,20,4
2533 Internal Medicine Specialists,85,10,2
2533 Internal Medicine Specialists,55,0,4
2533 Internal Medicine Specialists,55,10,2
2533 Internal Medicine Specialists,60,0,5
2533 Internal Medicine Specialists,60,10,6
2533 Internal Medicine Specialists,50,10,3
2533 Internal Medicine Specialists,40,10,1
3332 Plasterers,65,0,8
3332 Plasterers,65,10,18
3332 Plasterers,75,20,3
3332 Plasterers,75,10,6
3332 Plasterers,70,20,3
3332 Plasterers,70,10,11
3332 Plasterers,80,10,1
3332 Plasterers,55,0,4
3332 Plasterers,55,10,1
3332 Plasterers,60,0,8
3332 Plasterers,60,10,2
3332 Plasterers,50,0,1
3332 Plasterers,45,0,2
3611 Animal Attendants and Trainers,65,0,2
3611 Animal Attendants and Trainers,80,10,1
3334 Wall and Floor Tilers,65,0,49
3334 Wall and Floor Tilers,65,20,2
3334 Wall and Floor Tilers,65,10,26
3334 Wall and Floor Tilers,75,20,1
3334 Wall and Floor Tilers,75,10,12
3334 Wall and Floor Tilers,70,0,6
3334 Wall and Floor Tilers,70,20,3
3334 Wall and Floor Tilers,70,10,26
3334 Wall and Floor Tilers,80,0,2
3334 Wall and Floor Tilers,80,20,1
3334 Wall and Floor Tilers,85,20,3
3334 Wall and Floor Tilers,55,0,14
3334 Wall and Floor Tilers,55,20,1
3334 Wall and Floor Tilers,60,0,34
3334 Wall and Floor Tilers,60,10,6
3334 Wall and Floor Tilers,50,0,3
2112 Music Professionals,65,0,2
2112 Music Professionals,65,10,3
2112 Music Professionals,75,10,1
2112 Music Professionals,70,20,1
2112 Music Professionals,70,10,2
2112 Music Professionals,85,20,1
2112 Music Professionals,85,10,1
2112 Music Professionals,55,0,1
2112 Music Professionals,60,10,1
2112 Music Professionals,50,10,1
2112 Music Professionals,45,0,1
3211 Automotive Electricians,65,0,9
3211 Automotive Electricians,65,10,19
3211 Automotive Electricians,75,10,7
3211 Automotive Electricians,70,0,3
3211 Automotive Electricians,70,20,3
3211 Automotive Electricians,70,10,12
3211 Automotive Electricians,80,20,1
3211 Automotive Electricians,80,10,5
3211 Automotive Electricians,95,10,1
3211 Automotive Electricians,55,0,5
3211 Automotive Electricians,60,0,9
3211 Automotive Electricians,60,10,4
3211 Automotive Electricians,50,0,5
3211 Automotive Electricians,50,10,10
3211 Automotive Electricians,40,0,3
3211 Automotive Electricians,45,0,2
3211 Automotive Electricians,45,10,2
2534 Psychiatrists,65,0,2
2534 Psychiatrists,65,10,1
2534 Psychiatrists,75,20,3
2534 Psychiatrists,75,10,2
2534 Psychiatrists,70,0,1
2534 Psychiatrists,70,20,1
2534 Psychiatrists,70,10,5
2534 Psychiatrists,80,20,1
2534 Psychiatrists,80,10,1
2534 Psychiatrists,85,20,2
2534 Psychiatrists,55,0,1
2534 Psychiatrists,60,0,2
2534 Psychiatrists,60,10,1
2514 Optometrists and Orthoptists,65,0,2
2514 Optometrists and Orthoptists,65,10,1
2514 Optometrists and Orthoptists,75,20,5
2514 Optometrists and Orthoptists,75,10,9
2514 Optometrists and Orthoptists,70,10,9
2514 Optometrists and Orthoptists,80,20,1
2514 Optometrists and Orthoptists,80,10,5
2514 Optometrists and Orthoptists,95,20,1
2514 Optometrists and Orthoptists,85,20,5
2514 Optometrists and Orthoptists,60,0,1
2514 Optometrists and Orthoptists,50,0,1
2535 Surgeons,65,0,4
2535 Surgeons,65,20,1
2535 Surgeons,65,10,2
2535 Surgeons,75,0,1
2535 Surgeons,75,20,1
2535 Surgeons,75,10,2
2535 Surgeons,70,0,1
2535 Surgeons,70,20,1
2535 Surgeons,80,20,1
2535 Surgeons,80,10,1
2535 Surgeons,95,20,1
2535 Surgeons,85,20,1
2535 Surgeons,85,10,1
2535 Surgeons,55,0,1
2535 Surgeons,55,10,1
2535 Surgeons,60,10,1
2535 Surgeons,50,0,1
2535 Surgeons,100,20,1
3422 Electrical Distribution Trades Workers,70,20,1
3422 Electrical Distribution Trades Workers,60,10,1
2526 Podiatrists,65,0,3
2526 Podiatrists,65,10,3
2526 Podiatrists,75,0,1
2526 Podiatrists,75,20,1
2526 Podiatrists,75,10,14
2526 Podiatrists,70,20,1
2526 Podiatrists,70,10,7
2526 Podiatrists,80,20,5
2526 Podiatrists,55,0,1
2526 Podiatrists,60,0,3
2526 Podiatrists,60,20,1
"2111 Actors, Dancers and Other Entertainers",65,0,1
"2111 Actors, Dancers and Other Entertainers",65,20,1
"2111 Actors, Dancers and Other Entertainers",65,10,1
"2111 Actors, Dancers and Other Entertainers",75,10,4
"2111 Actors, Dancers and Other Entertainers",70,10,1
"2111 Actors, Dancers and Other Entertainers",80,20,1
"2111 Actors, Dancers and Other Entertainers",80,10,2
"2111 Actors, Dancers and Other Entertainers",85,20,1
4524 Sportspersons,70,10,1
4524 Sportspersons,80,10,1
4524 Sportspersons,55,0,1
